scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
RetireSafe Pension Scheme,Private,60+,All,All,Upper,Urban,Retirement Income Security,Retired individuals with proof of retirement and income details,"Monthly pension, medical support, financial planning advice",Application through authorized pension providers or online,https://retire-scheme.in,"Monthly pension amount varies, interest rate 4-6%",Lifetime,रिटायर्सेफ़ पेंशन योजना,सेवानिवृत्त पेन्शन योजना,सेवानिवृत्ति आय सुरक्षा,सेवानिवृत्ती उत्पन्न सुरक्षा,सेवानिवृत्त व्यक्ति सेवानिवृत्ति और आय विवरण के प्रमाण के साथ,सेवानिवृत्तीचा पुरावा आणि उत्पन्नाच्या तपशीलांसह सेवानिवृत्त व्यक्ती,"मासिक पेंशन, चिकित्सा सहायता, वित्तीय नियोजन सलाह","मासिक पेन्शन, वैद्यकीय समर्थन, आर्थिक नियोजन सल्ला",अधिकृत पेंशन प्रदाताओं या ऑनलाइन के माध्यम से आवेदन,अधिकृत पेन्शन प्रदात्यांद्वारे किंवा ऑनलाइनद्वारे अर्ज,"मासिक पेंशन राशि भिन्न होती है, ब्याज दर 4-6%","मासिक पेन्शन रक्कम बदलते, व्याज दर 4-6%",जीवनभर,आजीवन
Skills for All,Government,19-35,All,All,Middle,Urban and Rural,Skills Development and Employment,"Graduates, diploma holders, unemployed youth","Skill training, certification, job placement assistance",Apply online or through local employment offices,https://skillsforall.gov.in,,3-6 months per training module,सभी के लिए कौशल,सर्वांसाठी कौशल्ये,कौशल विकास और रोजगार,कौशल्य विकास आणि रोजगार,"स्नातक, डिप्लोमा धारक, बेरोजगार युवा","पदवीधर, डिप्लोमा धारक, बेरोजगार तरुण","कौशल प्रशिक्षण, प्रमाणन, नौकरी प्लेसमेंट सहायता","कौशल्य प्रशिक्षण, प्रमाणपत्र, नोकरी प्लेसमेंट सहाय्य",ऑनलाइन या स्थानीय रोजगार कार्यालयों के माध्यम से आवेदन करें,ऑनलाइन किंवा स्थानिक रोजगार कार्यालयांद्वारे अर्ज करा,,,3-6 महीने प्रति प्रशिक्षण मॉड्यूल,प्रति प्रशिक्षण मॉड्यूल 3-6 महिने
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Banking access for all,Open to all citizens above 10 years of age,"Free bank accounts, debit cards, insurance coverage",Visit nearby bank branch or apply online,https://pmjdy.gov.in/,,Lifetime,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,सभी के लिए बैंकिंग पहुंच,सर्वांसाठी बँकिंग प्रवेश,10 वर्ष से अधिक आयु के सभी नागरिकों के लिए खुला,10 वर्षांपेक्षा जास्त वयाच्या सर्व नागरिकांसाठी खुले,"नि: शुल्क बैंक खाते, डेबिट कार्ड, बीमा कवरेज","विनामूल्य बँक खाती, डेबिट कार्ड, विमा संरक्षण",पास की बैंक शाखा पर जाएँ या ऑनलाइन आवेदन करें,जवळपासच्या बँक शाखेत भेट द्या किंवा ऑनलाईन अर्ज करा,,,जीवनभर,आजीवन
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Savings scheme for girl child,Parent or guardian of girl below age 10,"Tax benefits, compound interest, maturity amount up to 1 million INR",Visit authorized bank branches or post office,https://sukanyasamriddhi.com/,Interest rate: 7.6% p.a.,21 years from account opening,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,बालिका के लिए बचत योजना,मुली मुलासाठी बचत योजना,10 वर्ष से कम उम्र के लड़की के माता -पिता या अभिभावक,पालक किंवा 10 वर्षाखालील मुलीचे पालक,"कर लाभ, चक्रवृद्धि ब्याज, परिपक्वता राशि 1 मिलियन INR तक","कर लाभ, चक्रवाढ व्याज, परिपक्वता 1 दशलक्ष आयएनआर पर्यंत",अधिकृत बैंक शाखाओं या डाकघर पर जाएं,अधिकृत बँक शाखा किंवा पोस्ट ऑफिसला भेट द्या,ब्याज दर: 7.6% पी.ए.,व्याज दर: 7.6% पी.ए.,खाता खोलने से 21 साल,खाते उघडण्यापासून 21 वर्षे
Pension Fund Scheme for Retail Workers,Private,36-60,All,All,Middle,Urban,Retirement pension,Retail workers with minimum 3 years of employment,"Monthly pension, health benefits, financial security",Register through affiliated pension providers,https://retailpension.in/,,Lifetime,पेंशन निधि खुदरा कार्यकर्ताओं के लिए योजना,किरकोळ कामगारांसाठी पेन्शन फंड योजना,सेवानिवृत्ति पेंशन,सेवानिवृत्ती पेन्शन,न्यूनतम 3 साल के रोजगार के साथ खुदरा कार्यकर्ता,कमीतकमी 3 वर्षे रोजगारासह किरकोळ कामगार,"मासिक पेंशन, स्वास्थ्य लाभ, वित्तीय सुरक्षा","मासिक पेन्शन, आरोग्य लाभ, आर्थिक सुरक्षा",संबद्ध पेंशन प्रदाताओं के माध्यम से पंजीकरण करें,संबद्ध पेन्शन प्रदात्यांद्वारे नोंदणी करा,,,जीवनभर,आजीवन
Microcredit for Women Entrepreneurs,Private,19-35,Female,OBC,Below Poverty Line,Rural,Microfinance and credit support,Women entrepreneurs with viable business plan,"Low-interest loans, business development support",Application through local microfinance institutions,https://microcreditwomen.in/,Interest rates 12-15% per annum,1-5 years,महिला उद्यमियों के लिए microcredit,महिला उद्योजकांसाठी मायक्रोक्रेडिट,माइक्रोफाइनेंस और क्रेडिट समर्थन,मायक्रोफायनान्स आणि क्रेडिट समर्थन,व्यवहार्य व्यवसाय योजना के साथ महिला उद्यमी,व्यवहार्य व्यवसाय योजनेसह महिला उद्योजक,"कम-ब्याज ऋण, व्यवसाय विकास सहायता","कमी व्याज कर्ज, व्यवसाय विकास समर्थन",स्थानीय माइक्रोफाइनेंस संस्थानों के माध्यम से आवेदन,स्थानिक मायक्रोफायनान्स संस्थांद्वारे अर्ज,ब्याज दर 12-15% प्रति वर्ष,व्याज दर दरवर्षी 12-15%,1-5 साल,1-5 वर्षे
Rural Digital Savings Initiative,Government,6-18,All,All,Middle,Rural,Promote digital savings and transactions,Residents of rural areas above 12 years,"Digital account, transaction support, financial literacy sessions",Apply at local bank or post office,https://ruraldigitalsavings.gov.in/,,,ग्रामीण डिजिटल बचत पहल,ग्रामीण डिजिटल बचत उपक्रम,डिजिटल बचत और लेनदेन को बढ़ावा देना,डिजिटल बचत आणि व्यवहारांना प्रोत्साहन द्या,12 साल से अधिक ग्रामीण क्षेत्रों के निवासी,ग्रामीण भागातील रहिवासी 12 वर्षांपेक्षा जास्त,"डिजिटल खाता, लेनदेन समर्थन, वित्तीय साक्षरता सत्र","डिजिटल खाते, व्यवहार समर्थन, आर्थिक साक्षरता सत्र",स्थानीय बैंक या डाकघर में आवेदन करें,स्थानिक बँक किंवा पोस्ट ऑफिसवर अर्ज करा,,,,
Urban Financial Literacy Campaign,Government,19-35,All,All,Upper,Urban,Financial literacy and inclusion,Urban residents above 18 years,"Workshops, digital tools, financial guidance",Participate through local community centers or online registration,https://urbanfinliteracy.in/,,Ongoing,शहरी वित्तीय साक्षरता अभियान,शहरी आर्थिक साक्षरता,वित्तीय साक्षरता और समावेश,आर्थिक साक्षरता आणि समावेश,18 साल से ऊपर के शहरी निवासी,18 वर्षांपेक्षा जास्त शहरी रहिवासी,"कार्यशालाएं, डिजिटल उपकरण, वित्तीय मार्गदर्शन","कार्यशाळा, डिजिटल साधने, आर्थिक मार्गदर्शन",स्थानीय सामुदायिक केंद्रों या ऑनलाइन पंजीकरण के माध्यम से भाग लें,स्थानिक समुदाय केंद्रे किंवा ऑनलाइन नोंदणीद्वारे भाग घ्या,,,चल रहे,चालू आहे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Savings and Financial Inclusion,All residents of India above 10 years of age,"Zero balance accounts, debit card, overdraft facility",Visit authorized bank branches or digital portals with ID proof,https://pmjdy.gov.in,,Lifetime,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बचत और वित्तीय समावेश,बचत आणि आर्थिक समावेश,भारत के सभी निवासी 10 वर्ष से अधिक आयु,10 वर्षांपेक्षा जास्त वयाच्या भारताचे सर्व रहिवासी,"शून्य शेष खाते, डेबिट कार्ड, ओवरड्राफ्ट सुविधा","शून्य शिल्लक खाती, डेबिट कार्ड, ओव्हरड्राफ्ट सुविधा",आईडी प्रूफ के साथ अधिकृत बैंक शाखाओं या डिजिटल पोर्टल पर जाएं,आयडी प्रूफसह अधिकृत बँक शाखा किंवा डिजिटल पोर्टलला भेट द्या,,,जीवनभर,आजीवन
Mahila Microfinance Initiative,Government,19-60,Female,All,Below Poverty Line,Rural India,Microcredit for Women,Women below poverty line with productive economic activity,"Access to microloans, financial literacy workshops",Application through local microfinance institutions,https://microfinance.gov.in,Interest rate 12-15% per annum,1-5 years,चारिला माइक्रोफाइनेंस पहल,माहिला मायक्रोफायनान्स इनिशिएटिव्ह,महिलाओं के लिए microcredit,महिलांसाठी मायक्रोक्रेडिट,उत्पादक आर्थिक गतिविधि के साथ गरीबी रेखा से नीचे की महिलाएं,उत्पादक आर्थिक क्रियाकलापांसह गरीबीच्या खाली असलेल्या स्त्रिया,"माइक्रोलोन, वित्तीय साक्षरता कार्यशालाओं तक पहुंच","मायक्रोलोन्स, आर्थिक साक्षरता कार्यशाळांमध्ये प्रवेश",स्थानीय माइक्रोफाइनेंस संस्थानों के माध्यम से आवेदन,स्थानिक मायक्रोफायनान्स संस्थांद्वारे अर्ज,ब्याज दर 12-15% प्रति वर्ष,व्याज दर दरवर्षी 12-15%,1-5 साल,1-5 वर्षे
SmartBanking Private Card,Private,19-35,All,General,Middle,Urban India,Digital Banking and Payments,Customer with valid ID and proof of income,"Unlimited digital transactions, cashback offers",Sign up online or at bank branches with KYC documents,https://smartbanking.in,,,स्मार्टबैंकिंग निजी कार्ड,स्मार्टबँकिंग खाजगी कार्ड,अंकीय बैंकिंग और भुगतान,डिजिटल बँकिंग आणि देयके,मान्य आईडी और आय के प्रमाण के साथ ग्राहक,वैध आयडी आणि उत्पन्नाचा पुरावा असलेले ग्राहक,"असीमित डिजिटल लेनदेन, कैशबैक ऑफ़र","अमर्यादित डिजिटल व्यवहार, कॅशबॅक ऑफर",KYC दस्तावेज़ों के साथ ऑनलाइन या बैंक शाखाओं में साइन अप करें,केवायसीच्या कागदपत्रांसह ऑनलाईन किंवा बँक शाखांमध्ये साइन अप करा,,,,
Senior Citizens Savings Plan,Government,60+,All,All,Upper,All India,Retirement Savings,Indian residents above 60 years,"Guaranteed interest, tax benefits",Visit banking branch with ID proof and age certificate,https://seniorsavings.gov.in,Interest rate 7.4% p.a.,5 years or lifetime,वरिष्ठ नागरिक बचत योजना,ज्येष्ठ नागरिक बचत योजना,सेवानिवृत्ति बचत,सेवानिवृत्तीची बचत,60 साल से ऊपर के भारतीय निवासी,60 वर्षांपेक्षा जास्त भारतीय रहिवासी,"गारंटीकृत ब्याज, कर लाभ","हमी व्याज, कर लाभ",आईडी प्रूफ और आयु प्रमाण पत्र के साथ बैंकिंग शाखा पर जाएँ,आयडी पुरावा आणि वय प्रमाणपत्रासह बँकिंग शाखेत भेट द्या,ब्याज दर 7.4% P.A.,व्याज दर 7.4% पी.ए.,5 साल या जीवन भर,5 वर्षे किंवा आजीवन
Youth Entrepreneur Funding,Private,19-35,All,OBC,Middle,All India,Microfinance for Startups,Youth with innovative business idea and proof of entrepreneurship,"Seed funding, mentorship, market access",Online application with business plan,https://youthembusiness.in,,Up to 5 years,युवा उद्यमी वित्त पोषण,युवा उद्योजक निधी,स्टार्टअप के लिए microfinance,स्टार्टअप्ससाठी मायक्रोफायनान्स,अभिनव व्यापार विचार और उद्यमिता के प्रमाण वाले युवा,नाविन्यपूर्ण व्यवसाय कल्पना आणि उद्योजकतेचा पुरावा असलेले तरुण,"बीज फंडिंग, मेंटरशिप, मार्केट एक्सेस","बियाणे निधी, मार्गदर्शन, बाजार प्रवेश",व्यापार योजना के साथ ऑनलाइन आवेदन,व्यवसाय योजनेसह ऑनलाइन अनुप्रयोग,,,5 साल तक,5 वर्षांपर्यंत
Educational Savings Scheme,Government,0-5,All,All,All,All India,Child Education Savings,Parents or guardians of children below 5 years,"Tax benefits, matched savings",Application through school or bank,https://educationsavings.gov.in,Interest rate 6-7% p.a.,,शैक्षिक बचत योजना,शैक्षणिक बचत योजना,बाल शिक्षा बचत,बाल शिक्षण बचत,5 साल से कम उम्र के बच्चों के माता -पिता या अभिभावक,पालक किंवा 5 वर्षांखालील मुलांचे पालक,"कर लाभ, मिलान बचत","कर लाभ, जुळणारी बचत",स्कूल या बैंक के माध्यम से आवेदन,शाळा किंवा बँकेद्वारे अर्ज,ब्याज दर 6-7% पी.ए.,व्याज दर 6-7% पी.ए.,,
Pradhan Mantri Jan-Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Financial Inclusion and Banking Access,Open to all citizens above 10 years old,"Zero balance accounts, overdraft facilities",Visit nearest bank branch with ID proof,https://pmjdy.gov.in,,Lifetime,Pradhan Mantri Jan-Dhan Yojana,पंतप्रधान जान धन योजना,वित्तीय समावेशन और बैंकिंग पहुंच,आर्थिक समावेश आणि बँकिंग प्रवेश,10 साल से अधिक उम्र के सभी नागरिकों के लिए खुला,10 वर्षांपेक्षा जास्त वयाच्या सर्व नागरिकांसाठी खुले,"शून्य शेष खाते, ओवरड्राफ्ट सुविधाएं","शून्य शिल्लक खाती, ओव्हरड्राफ्ट सुविधा",आईडी प्रूफ के साथ निकटतम बैंक शाखा पर जाएं,आयडी पुराव्यासह जवळच्या बँक शाखेत भेट द्या,,,जीवनभर,आजीवन
Microloan for Women Entrepreneurs,Private,19-35,Female,OBC,Middle,Rural Areas of Bihar,Microcredit and Business Support,"Women above 21 years, with a business idea","Low-interest loans up to INR 50,000, Business training",Online application through partner organization,https://womenmicroloan.org,Interest rate 10% per annum,5 years,महिला उद्यमियों के लिए microloan,महिला उद्योजकांसाठी मायक्रोलोन,माइक्रोक्रेडिट एंड बिजनेस सपोर्ट,मायक्रोक्रेडिट आणि व्यवसाय समर्थन,"21 साल से अधिक की महिलाएं, एक व्यावसायिक विचार के साथ",व्यवसायाच्या कल्पनेसह 21 वर्षांपेक्षा जास्त महिला,"INR 50,000 तक कम-ब्याज ऋण, व्यवसाय प्रशिक्षण","आयएनआर 50,000 पर्यंत कमी व्याज कर्ज, व्यवसाय प्रशिक्षण",साझेदार संगठन के माध्यम से ऑनलाइन आवेदन,भागीदार संस्थेद्वारे ऑनलाइन अनुप्रयोग,ब्याज दर 10% प्रति वर्ष,व्याज दर दरवर्षी 10%,5 साल,5 वर्षे
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child Girl Education and Savings,Parents or Guardians of girl children,"Tax benefits, Higher interest rates, Maturity benefit",Open account at bank or post office with birth certificate,https://sukanyasamriddhi.gov.in,Approx. 8% interest compounded annually,21 years or maturity of girl child,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,बाल लड़की शिक्षा और बचत,बाल मुलगी शिक्षण आणि बचत,माता -पिता या लड़की बच्चों के संरक्षक,पालक किंवा मुली मुलांचे पालक,"कर लाभ, उच्च ब्याज दर, परिपक्वता लाभ","कर लाभ, उच्च व्याज दर, परिपक्वता लाभ",जन्म प्रमाण पत्र के साथ बैंक या डाकघर में खुला खाता,जन्म प्रमाणपत्रासह बँक किंवा पोस्ट ऑफिसवर उघडा खाते,लगभग।8% ब्याज सालाना,अंदाजे.वर्षाकाठी 8% व्याज वाढवले जाते,21 साल या बालिका की परिपक्वता,21 वर्षे किंवा मुलगी मुलाची परिपक्वता
Digital Payment Incentive Scheme,Government,19-60,All,General,Middle,Urban Areas of Maharashtra,Promote Digital Transactions,All residents above 18 years with valid ID,"Cashback on digital transactions, Reward points",Register via official app or website,https://digitalpay.gov.in,,,अंकीय भुगतान प्रोत्साहन योजना,डिजिटल देयक प्रोत्साहन योजना,डिजिटल लेनदेन को बढ़ावा देना,डिजिटल व्यवहारांना प्रोत्साहन द्या,मान्य आईडी के साथ 18 साल से ऊपर के सभी निवासी,वैध आयडीसह 18 वर्षांपेक्षा जास्त वयाचे सर्व रहिवासी,"डिजिटल लेनदेन, इनाम अंक पर कैशबैक","डिजिटल व्यवहारांवर कॅशबॅक, बक्षीस गुण",आधिकारिक ऐप या वेबसाइट के माध्यम से पंजीकरण करें,अधिकृत अ‍ॅप किंवा वेबसाइटद्वारे नोंदणी करा,,,,
Retirement Pension Scheme,Private,60+,All,All,Below Poverty Line,Rural Telangana,Retirement Savings and Pension,Citizens above 60 years with proof of identity,"Monthly pension benefits, Medical allowance",Apply through local pension office with documentation,https://retirementpension.org,"Monthly pension amount varies, interest rate 7%",Lifetime,सेवानिवृत्ति पेंशन योजना,सेवानिवृत्ती पेन्शन योजना,सेवानिवृत्ति बचत और पेंशन,सेवानिवृत्तीची बचत आणि पेन्शन,पहचान के प्रमाण के साथ 60 वर्ष से अधिक के नागरिक,ओळखीच्या पुराव्यासह 60 वर्षांपेक्षा जास्त नागरिक,"मासिक पेंशन लाभ, चिकित्सा भत्ता","मासिक पेन्शन लाभ, वैद्यकीय भत्ता",प्रलेखन के साथ स्थानीय पेंशन कार्यालय के माध्यम से आवेदन करें,दस्तऐवजीकरणासह स्थानिक पेन्शन कार्यालयातून अर्ज करा,"मासिक पेंशन राशि भिन्न होती है, ब्याज दर 7%","मासिक पेन्शन रक्कम बदलते, व्याज दर 7%",जीवनभर,आजीवन
Skill Development and Microcredit Program,Government,19-60,All,ST,Below Poverty Line,Tribal Regions of Madhya Pradesh,Skill Enhancement and Microcredit Access,"Tribal residents above 18 years, willing to learn skills","Skill training, Microcredit loans up to INR 20,000",Registration at local skill centers and microfinance institutions,https://skillmicrocredit.gov.in,Interest rate 12% annually on loans,3 years,कौशल विकास और माइक्रोक्रेडिट प्रोग्राम,कौशल्य विकास आणि मायक्रोक्रेडिट प्रोग्राम,कौशल वृद्धि और माइक्रोक्रेडिट एक्सेस,कौशल्य वर्धितता आणि मायक्रोक्रेडिट प्रवेश,"18 साल से ऊपर आदिवासी निवासी, कौशल सीखने के लिए तैयार हैं","18 वर्षांपेक्षा जास्त आदिवासी रहिवासी, कौशल्ये शिकण्यास तयार आहेत","कौशल प्रशिक्षण, INR 20,000 तक माइक्रोक्रेडिट लोन","कौशल्य प्रशिक्षण, मायक्रोक्रेडिट कर्ज 20,000 पर्यंत",स्थानीय कौशल केंद्रों और माइक्रोफाइनेंस संस्थानों में पंजीकरण,स्थानिक कौशल्य केंद्रे आणि मायक्रोफायनान्स संस्थांमध्ये नोंदणी,ऋण पर ब्याज दर 12% सालाना,कर्जावर वर्षाकाठी 12% व्याज दर,3 वर्ष,3 वर्षे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Financial Inclusion & Banking Access,Open to all citizens above 10 years old with valid ID,"Zero balance accounts, debit card issuance, overdraft facility",Open a bank account at any authorized bank branch or agency,https://pmjdy.gov.in/,,Lifetime,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,वित्तीय समावेशन और बैंकिंग पहुंच,आर्थिक समावेश आणि बँकिंग प्रवेश,मान्य आईडी के साथ 10 साल से अधिक उम्र के सभी नागरिकों के लिए खुला,वैध आयडीसह 10 वर्षांपेक्षा जास्त वयाच्या सर्व नागरिकांसाठी खुले,"शून्य शेष खाते, डेबिट कार्ड जारी करना, ओवरड्राफ्ट सुविधा","शून्य शिल्लक खाती, डेबिट कार्ड जारी करणे, ओव्हरड्राफ्ट सुविधा",किसी भी अधिकृत बैंक शाखा या एजेंसी में एक बैंक खाता खोलें,कोणत्याही अधिकृत बँक शाखेत किंवा एजन्सीवर बँक खाते उघडा,,,जीवनभर,आजीवन
Vaya Samridhi Yojana,Government,60+,All,All,Middle,All India,Retirement Savings & Pension,Elderly citizens above 60 years with necessary documentation,"Monthly pension, savings benefit, health cover options",Apply through bank branches or online portal,https://vayasamridhi.in/,Interest rate 8% p.a.,Lifetime,Vaya Samridhi Yojana,समृद्धी योजना मार्गे,सेवानिवृत्ति बचत और पेंशन,सेवानिवृत्तीची बचत आणि पेन्शन,आवश्यक प्रलेखन के साथ 60 साल से अधिक बुजुर्ग नागरिक,आवश्यक कागदपत्रांसह 60 वर्षांपेक्षा जास्त वयोवृद्ध वृद्ध नागरिक,"मासिक पेंशन, बचत लाभ, स्वास्थ्य कवर विकल्प","मासिक पेन्शन, बचत लाभ, आरोग्य कव्हर पर्याय",बैंक शाखाओं या ऑनलाइन पोर्टल के माध्यम से आवेदन करें,बँक शाखा किंवा ऑनलाइन पोर्टलद्वारे अर्ज करा,ब्याज दर 8% पी.ए.,व्याज दर 8% पी.ए.,जीवनभर,आजीवन
Kisan Credit Card Scheme,Government,19-35,Male,OBC,Middle,Rural,Microcredit & Agricultural Financing,"Farming community, landholding farmers","Crop loans, flexible repayment, insurance options",Apply through cooperative banks or rural branches,https://agri.gov.in/kcc,Interest rate 7% p.a.,1-5 years,किसान क्रेडिट कार्ड योजना,किसान क्रेडिट कार्ड योजना,माइक्रोक्रेडिट एंड कृषि वित्तपोषण,मायक्रोक्रेडिट आणि कृषी वित्तपुरवठा,"खेती समुदाय, लैंडहोल्डिंग किसान","शेती समुदाय, भू -ल्डिंग शेतकरी","फसल ऋण, लचीला चुकौती, बीमा विकल्प","पीक कर्ज, लवचिक परतफेड, विमा पर्याय",सहकारी बैंकों या ग्रामीण शाखाओं के माध्यम से आवेदन करें,सहकारी बँका किंवा ग्रामीण शाखांद्वारे अर्ज करा,ब्याज दर 7% पी.ए.,व्याज दर 7% पी.ए.,1-5 साल,1-5 वर्षे
Small Business Loan Scheme,Private,19-60,All,General,Upper,Urban,Microcredit & Business Expansion,"Small and micro enterprises, startups","Low-interest loans, quick approval process",Online application via partner banks or financial institutions,https://smallbusinessbank.com/loan,Interest rate 10% p.a.,3-7 years,लघु व्यवसाय ऋण योजना,लघु व्यवसाय कर्ज योजना,माइक्रोक्रेडिट एंड बिजनेस एक्सपेंशन,मायक्रोक्रेडिट आणि व्यवसाय विस्तार,"छोटे और सूक्ष्म उद्यम, स्टार्टअप","लहान आणि सूक्ष्म उपक्रम, स्टार्टअप्स","कम-ब्याज ऋण, त्वरित अनुमोदन प्रक्रिया","कमी व्याज कर्ज, द्रुत मंजुरी प्रक्रिया",भागीदार बैंकों या वित्तीय संस्थानों के माध्यम से ऑनलाइन आवेदन,भागीदार बँका किंवा वित्तीय संस्थांद्वारे ऑनलाइन अर्ज,ब्याज दर 10% पी.ए.,व्याज दर 10% पी.ए.,3-7 साल,3-7 वर्षे
Digital Payment Incentive,Government,19-35,All,All,All,Urban and Rural,Promote Digital Transactions,All users of digital payment platforms,"Cashback, discounts, transaction fee waivers",Register on digital payment apps or platforms,https://digitalpayments.gov.in/,,,अंकीय भुगतान प्रोत्साहन,डिजिटल पेमेंट प्रोत्साहन,डिजिटल लेनदेन को बढ़ावा देना,डिजिटल व्यवहारांना प्रोत्साहन द्या,डिजिटल भुगतान प्लेटफार्मों के सभी उपयोगकर्ता,डिजिटल पेमेंट प्लॅटफॉर्मचे सर्व वापरकर्ते,"कैशबैक, छूट, लेन -देन शुल्क छूट","कॅशबॅक, सवलत, व्यवहार फी माफी",डिजिटल भुगतान एप्लिकेशन या प्लेटफार्मों पर पंजीकरण करें,डिजिटल पेमेंट अॅप्स किंवा प्लॅटफॉर्मवर नोंदणी करा,,,,
Youth Financial Literacy Program,Private,6-18,All,All,All,All India,Financial Education & Literacy,Students and young individuals,"Workshops, online courses, awareness campaigns",Register via schools or online portal,https://finlitprogram.in/,,Ongoing,युवा वित्तीय साक्षरता कार्यक्रम,युवा आर्थिक साक्षरता कार्यक्रम,वित्तीय शिक्षा और साक्षरता,आर्थिक शिक्षण आणि साक्षरता,छात्र और युवा व्यक्ति,विद्यार्थी आणि तरुण व्यक्ती,"कार्यशालाएं, ऑनलाइन पाठ्यक्रम, जागरूकता अभियान","कार्यशाळा, ऑनलाइन अभ्यासक्रम, जागरूकता मोहिम",स्कूलों या ऑनलाइन पोर्टल के माध्यम से पंजीकरण करें,शाळा किंवा ऑनलाइन पोर्टलद्वारे नोंदणी करा,,,चल रहे,चालू आहे
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India-wide,Banking and financial inclusion for all,Open to all citizens of India,"Basic banking facilities, overdraft facilities, insurance cover",Visit a bank branch or apply online,https://pmjdy.gov.in/,,Lifetime,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,सभी के लिए बैंकिंग और वित्तीय समावेश,सर्वांसाठी बँकिंग आणि आर्थिक समावेश,भारत के सभी नागरिकों के लिए खुला,भारताच्या सर्व नागरिकांसाठी खुला,"बुनियादी बैंकिंग सुविधाएं, ओवरड्राफ्ट सुविधाएं, बीमा कवर","मूलभूत बँकिंग सुविधा, ओव्हरड्राफ्ट सुविधा, विमा कव्हर",एक बैंक शाखा पर जाएँ या ऑनलाइन आवेदन करें,बँक शाखेत भेट द्या किंवा ऑनलाईन अर्ज करा,,,जीवनभर,आजीवन
Aarogyasri Health Scheme,Government,All,All,SC,Below Poverty Line,Andhra Pradesh,Health insurance and medical benefits,"Below poverty line status, residents of Andhra Pradesh","Free medical treatment, hospital stays, surgeries",Register through government hospitals or online portal,https://ahd.ap.gov.in/aarogyasri/,,Lifetime,आरोग्यसरी स्वास्थ्य योजना,आरोगियास्री आरोग्य योजना,स्वास्थ्य बीमा और चिकित्सा लाभ,आरोग्य विमा आणि वैद्यकीय लाभ,"गरीबी रेखा की स्थिति के नीचे, आंध्र प्रदेश के निवासी",दारिद्र्य रेखा स्थितीच्या खाली आंध्र प्रदेशातील रहिवासी,"नि: शुल्क चिकित्सा उपचार, अस्पताल में रहने, सर्जरी","विनामूल्य वैद्यकीय उपचार, रुग्णालयात मुक्काम, शस्त्रक्रिया",सरकारी अस्पतालों या ऑनलाइन पोर्टल के माध्यम से पंजीकरण करें,सरकारी रुग्णालये किंवा ऑनलाइन पोर्टलद्वारे नोंदणी करा,,,जीवनभर,आजीवन
Union Bank Microfinance Scheme,Private,19-35,Female,OBC,Middle,Rural areas of India,Microcredit for small entrepreneurs,Micro-entrepreneurs with viable business plans,"Small loans, financial literacy training, business support",Application at Union Bank branches or partner NGOs,https://unionbank.co.in/microfinance,Interest rate 10-12% p.a.,3-5 years,यूनियन बैंक माइक्रोफाइनेंस योजना,युनियन बँक मायक्रोफायनान्स योजना,छोटे उद्यमियों के लिए microcredit,लहान उद्योजकांसाठी मायक्रोक्रेडिट,व्यवहार्य व्यावसायिक योजनाओं के साथ सूक्ष्म उद्यमियों,व्यवहार्य व्यवसाय योजनांसह सूक्ष्म-उद्योजक,"छोटे ऋण, वित्तीय साक्षरता प्रशिक्षण, व्यापार सहायता","लहान कर्ज, आर्थिक साक्षरता प्रशिक्षण, व्यवसाय समर्थन",यूनियन बैंक शाखाओं या भागीदार एनजीओ पर आवेदन,युनियन बँक शाखा किंवा भागीदार स्वयंसेवी संस्था येथे अर्ज,ब्याज दर 10-12% पी.ए.,व्याज दर 10-12% पी.ए.,3-5 साल,3-5 वर्षे
