scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval,scheme_name_hi,scheme_name_mr,scheme_goal_hi,scheme_goal_mr,eligibility_hi,eligibility_mr,benefits_hi,benefits_mr,application_process_hi,application_process_mr,total_returns_hi,total_returns_mr,time_duration_hi,time_duration_mr
Microcredit Support Program,Private,36-60,All,General,Below Poverty Line,Rural areas,Microcredit and Small Business Support,Small entrepreneurs with viable business plans,"Low-interest microloans, Business training",Application via local microfinance institutions,https://microcreditindia.org/,Interest rate 8% per annum,3 years,Loan amount varies,Monthly,माइक्रोक्रेडिट सपोर्ट प्रोग्राम,मायक्रोक्रेडिट समर्थन प्रोग्राम,माइक्रोक्रिट और लघु व्यवसाय सहायता,मायक्रोक्रेडिट आणि लघु व्यवसाय समर्थन,व्यवहार्य व्यावसायिक योजनाओं के साथ छोटे उद्यमी,व्यवहार्य व्यवसाय योजनांसह लहान उद्योजक,"कम-ब्याज वाले माइक्रोलोन, व्यवसाय प्रशिक्षण","कमी व्याज मायक्रोलोन्स, व्यवसाय प्रशिक्षण",स्थानीय माइक्रोफाइनेंस संस्थानों के माध्यम से आवेदन,स्थानिक मायक्रोफायनान्स संस्थांद्वारे अनुप्रयोग,ब्याज दर 8% प्रति वर्ष,वर्षाकाठी 8% व्याज दर,3 वर्ष,3 वर्षे
Senior Citizens Pension Scheme,Government,60+,All,All,All,Assam,Retirement Pension Support,Senior citizens with valid ID proof,"Monthly pension, Healthcare discounts",Register at designated government offices or online,https://seniorspension.in/,Interest rate 10-15%,Lifetime,,Monthly,वरिष्ठ नागरिक पेंशन योजना,ज्येष्ठ नागरिक पेन्शन योजना,सेवानिवृत्ति पेंशन समर्थन,सेवानिवृत्ती पेन्शन समर्थन,वैध आईडी प्रूफ वाले वरिष्ठ नागरिक,वैध आयडी पुरावा असलेले ज्येष्ठ नागरिक,"मासिक पेंशन, स्वास्थ्य सेवा छूट","मासिक पेन्शन, आरोग्यसेवा सूट",निर्दिष्ट सरकारी कार्यालयों या ऑनलाइन पर पंजीकरण करें,नियुक्त केलेल्या सरकारी कार्यालयांमध्ये किंवा ऑनलाइन नोंदणी करा,ब्याज दर 8-12%,वार्षिक परतावा 6-9%,जीवनभर,आजीवन
Youth Financial Literacy Program,Government,15-25,All,All,All,Tamil Nadu,Financial Literacy and Education,Students and young adults,"Workshops, Online courses, Awareness campaigns",Register online or through educational institutions,https://financialliteracy.gov.in/,Interest rate 6-8%,Ongoing,,,युवा वित्तीय साक्षरता कार्यक्रम,युवा आर्थिक साक्षरता कार्यक्रम,वित्तीय साक्षरता और शिक्षा,आर्थिक साक्षरता आणि शिक्षण,छात्र और युवा वयस्क,विद्यार्थी आणि तरुण प्रौढ,"कार्यशालाएं, ऑनलाइन पाठ्यक्रम, जागरूकता अभियान","कार्यशाळा, ऑनलाइन अभ्यासक्रम, जागरूकता मोहिम",ऑनलाइन या शैक्षिक संस्थानों के माध्यम से पंजीकरण करें,ऑनलाइन किंवा शैक्षणिक संस्थांद्वारे नोंदणी करा,ब्याज दर 5-8%,व्याज दर 5-8%,चल रहे,चालू आहे
Startup Fund Support,Private,19-35,All,All,Upper,Urban areas,Entrepreneurship and Innovation Funding,Registered startups in India,"Seed funding, Mentoring, Market access",Apply online via official portal with business plan,https://startupfund.in/,Interest rate 9-13%,,,,स्टार्टअप फंड समर्थन,स्टार्टअप फंड समर्थन,उद्यमशीलता और नवाचार निधि,उद्योजकता आणि नाविन्यपूर्ण निधी,भारत में पंजीकृत स्टार्टअप,भारतात नोंदणीकृत स्टार्टअप्स,"बीज वित्त पोषण, सलाह, बाजार पहुंच","बियाणे निधी, मार्गदर्शन, बाजार प्रवेश",व्यावसायिक योजना के साथ आधिकारिक पोर्टल के माध्यम से ऑनलाइन आवेदन करें,व्यवसाय योजनेसह अधिकृत पोर्टलद्वारे ऑनलाइन अर्ज करा,ब्याज दर 9-13%,वार्षिक परतावा 4-6%,,
Agricultural Credit Scheme,Government,19-60,All,All,Middle,Rural,Agricultural Financing,Farmers with valid land documents,Low-interest loans for equipment and inputs,Application at local banks or cooperative societies,https://agriculturebank.gov.in/,Interest rate 5% per annum,1-3 years,Loan amount + interest,Monthly,कृषि ऋण योजना,कृषी पत योजना,कृषि वित्तपोषण,कृषी वित्तपुरवठा,वैध भूमि दस्तावेजों वाले किसान,वैध जमीन कागदपत्रे असलेले शेतकरी,उपकरण और इनपुट के लिए कम-ब्याज ऋण,उपकरणे आणि इनपुटसाठी कमी व्याज कर्ज,स्थानीय बैंकों या सहकारी समितियों में आवेदन,स्थानिक बँका किंवा सहकारी संस्था येथे अर्ज,ब्याज दर 5% प्रति वर्ष,व्याज दर दरवर्षी 5%,1-3 साल,1-3 वर्षे
Women Entrepreneurship Support,Government,19-60,Female,OBC,Middle,Madhya Pradesh,Women-led Business Promotion,Women entrepreneurs with valid business plan,"Funding, Training, Market linkage",Apply through local women’s development office or online,https://womenentrepreneurship.gov.in/,Interest rate 10-15%,,,,महिला उद्यमिता समर्थन,महिला उद्योजकता समर्थन,महिला नेतृत्व वाले व्यवसाय पदोन्नति,महिलांच्या नेतृत्वाखालील व्यवसाय पदोन्नती,वैध व्यवसाय योजना के साथ महिला उद्यमी,वैध व्यवसाय योजना असलेल्या महिला उद्योजक,"धन, प्रशिक्षण, बाजार संबंध","निधी, प्रशिक्षण, बाजार दुवा",स्थानीय महिलाओं के विकास कार्यालय या ऑनलाइन के माध्यम से आवेदन करें,स्थानिक महिला विकास कार्यालय किंवा ऑनलाइनद्वारे अर्ज करा,ब्याज दर 6-8%,वार्षिक परतावा 4-6%,,
Skill Development Initiative,Government,15-40,All,All,All,Eastern India,Skill Enhancement for Employability,Young adults and unemployed persons,"Training programs, Certification, Job placement assistance",Apply via the scheme portal or partner training centers,https://skilldev.in/,Annual return 4-6%,Varies by course,,,कौशल विकास पहल,कौशल्य विकास उपक्रम,रोजगार के लिए कौशल वृद्धि,रोजगारासाठी कौशल्य वाढ,युवा वयस्क और बेरोजगार व्यक्ति,तरुण प्रौढ आणि बेरोजगार व्यक्ती,"प्रशिक्षण कार्यक्रम, प्रमाणन, नौकरी प्लेसमेंट सहायता","प्रशिक्षण कार्यक्रम, प्रमाणपत्र, नोकरी प्लेसमेंट सहाय्य",स्कीम पोर्टल या पार्टनर ट्रेनिंग सेंटर के माध्यम से आवेदन करें,योजना पोर्टल किंवा भागीदार प्रशिक्षण केंद्रांद्वारे अर्ज करा,ब्याज दर 9-13%,वार्षिक परतावा 5-7%,पाठ्यक्रम से भिन्न होता है,अर्थातच बदलते
Retirement Savings Plan,Private,36-60,All,All,Upper,Telangana,Retirement Planning,Employees in private sector or self-employed,"Tax benefits, Retirement corpus accumulation",Enroll through financial institutions or online platforms,https://retirementplan.org/,Interest rate 9-13%,Lifetime,"Variable, based on contribution",Monthly or Annual,सेवानिवृत्ति बचत योजना,सेवानिवृत्ती बचत योजना,सेवानिवृत्ति योजना,सेवानिवृत्तीचे नियोजन,निजी क्षेत्र में कर्मचारी या स्व-नियोजित,खाजगी क्षेत्रातील कर्मचारी किंवा स्वयंरोजगार,"कर लाभ, सेवानिवृत्ति कॉर्पस संचय","कर लाभ, सेवानिवृत्ती कॉर्पस संचय",वित्तीय संस्थानों या ऑनलाइन प्लेटफार्मों के माध्यम से दाखिला,वित्तीय संस्था किंवा ऑनलाइन प्लॅटफॉर्मद्वारे नोंदणी करा,ब्याज दर 7-10%,वार्षिक परतावा 6-9%,जीवनभर,आजीवन
Financial Literacy for Rural Women,Government,19-60,Female,All,Below Poverty Line,Maharashtra,Financial Inclusion and Literacy,Rural women with valid ID proof,"Financial education, Access to banking",Doorstep campaigns and local bank support,https://ruralwomenfinancial.in/,Annual return 5-7%,Ongoing,,,ग्रामीण महिलाओं के लिए वित्तीय साक्षरता,ग्रामीण महिलांसाठी आर्थिक साक्षरता,वित्तीय समावेश और साक्षरता,आर्थिक समावेश आणि साक्षरता,वैध आईडी प्रूफ वाली ग्रामीण महिलाएं,वैध आयडी पुरावा असलेल्या ग्रामीण स्त्रिया,"वित्तीय शिक्षा, बैंकिंग तक पहुंच","आर्थिक शिक्षण, बँकिंग प्रवेश",दरवाजे के अभियान और स्थानीय बैंक समर्थन,डोरस्टेप मोहीम आणि स्थानिक बँक समर्थन,ब्याज दर 5-8%,व्याज दर 8-12%,चल रहे,चालू आहे
Digital Payment Adoption Scheme,Government,15-60,All,All,All,Odisha,Promote Digital Transactions,All residents with a mobile phone and bank account,"Digital payment infrastructure, Incentives for usage",Registration through banks or digital wallets,https://digitalpay.gov.in/,Annual return 5-7%,Ongoing,,,अंकीय अदायगी दत्तक ग्रहण योजना,डिजिटल पेमेंट दत्तक योजना,डिजिटल लेनदेन को बढ़ावा देना,डिजिटल व्यवहारांना प्रोत्साहन द्या,एक मोबाइल फोन और बैंक खाते वाले सभी निवासी,मोबाइल फोन आणि बँक खाते असलेले सर्व रहिवासी,"डिजिटल भुगतान बुनियादी ढांचा, उपयोग के लिए प्रोत्साहन","डिजिटल पेमेंट इन्फ्रास्ट्रक्चर, वापरासाठी प्रोत्साहन",बैंकों या डिजिटल वॉलेट के माध्यम से पंजीकरण,बँका किंवा डिजिटल वॉलेट्सद्वारे नोंदणी,ब्याज दर 6-8%,व्याज दर 9-13%,चल रहे,चालू आहे
Affordable Housing Loan Scheme,Government,19-60,All,All,Middle,Uttar Pradesh,Housing for Economically Weaker Sections,Individuals with low income and valid documents,"Low-interest housing loans, Subsidies",Apply at housing finance institutions or online,https://housingloan.gov.in/,Interest rate 8-12%,,Loan amount + interest,Monthly,सस्ती आवास ऋण योजना,परवडणारी गृहनिर्माण कर्ज योजना,आर्थिक रूप से कमजोर वर्गों के लिए आवास,आर्थिकदृष्ट्या कमकुवत विभागांसाठी घरे,कम आय और वैध दस्तावेजों वाले व्यक्ति,कमी उत्पन्न आणि वैध कागदपत्रे असलेले व्यक्ती,"कम-ब्याज आवास ऋण, सब्सिडी","कमी व्याज गृहनिर्माण कर्जे, अनुदान",आवास वित्त संस्थानों या ऑनलाइन पर आवेदन करें,गृहनिर्माण वित्त संस्था किंवा ऑनलाइन येथे अर्ज करा,ब्याज दर 7-10%,व्याज दर 8-12%,,
Entrepreneurship Development Program,Government,19-35,All,All,All,Jammu & Kashmir,Fostering Entrepreneurship,Young individuals with business ideas,"Training, Funding, Mentorship",Application through official portal or local offices,https://entrepreneurship.gov.in/,Interest rate 7-10%,,,,उद्यमशीलता विकास कार्यक्रम,उद्योजकता विकास कार्यक्रम,उद्यमशीलता को बढ़ावा देना,उद्योजकता वाढवणे,व्यावसायिक विचारों वाले युवा व्यक्ति,व्यवसाय कल्पनांसह तरुण व्यक्ती,"प्रशिक्षण, वित्त पोषण, संरक्षण","प्रशिक्षण, निधी, मार्गदर्शक",आधिकारिक पोर्टल या स्थानीय कार्यालयों के माध्यम से आवेदन,अधिकृत पोर्टल किंवा स्थानिक कार्यालयांद्वारे अर्ज,ब्याज दर 10-15%,व्याज दर 10-15%,,
Minority Community Financial Support,Government,19-60,All,Minority,Below Poverty Line,Odisha,Financial Inclusion for Minority Communities,Members of minority communities with valid ID,"Microloans, Financial Literacy programs",Apply online or through community centers,https://minorityfin.org/,Annual return 6-9%,,,,अल्पसंख्यक सामुदायिक वित्तीय सहायता,अल्पसंख्याक समुदाय आर्थिक सहाय्य,अल्पसंख्यक समुदायों के लिए वित्तीय समावेश,अल्पसंख्याक समुदायांसाठी आर्थिक समावेश,वैध आईडी के साथ अल्पसंख्यक समुदायों के सदस्य,वैध आयडीसह अल्पसंख्याक समुदायांचे सदस्य,"माइक्रोलोन, वित्तीय साक्षरता कार्यक्रम","मायक्रोलोन्स, आर्थिक साक्षरता कार्यक्रम",ऑनलाइन या सामुदायिक केंद्रों के माध्यम से आवेदन करें,ऑनलाइन किंवा समुदाय केंद्रांद्वारे अर्ज करा,ब्याज दर 7-10%,वार्षिक परतावा 6-9%,,
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,National,Savings and Bank Account Access,Open to all citizens above 10 years of age,"Zero balance accounts, overdraft facility",Visit a bank branch or enroll online,https://www.pmjdy.gov.in/,Interest rate 7-10%,Lifetime,,,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बचत और बैंक खाता पहुंच,बचत आणि बँक खात्यात प्रवेश,10 वर्ष से अधिक आयु के सभी नागरिकों के लिए खुला,10 वर्षांपेक्षा जास्त वयाच्या सर्व नागरिकांसाठी खुले,"शून्य शेष खाते, ओवरड्राफ्ट सुविधा","शून्य शिल्लक खाती, ओव्हरड्राफ्ट सुविधा",एक बैंक शाखा पर जाएँ या ऑनलाइन दाखिला लें,बँक शाखेत भेट द्या किंवा ऑनलाइन नोंदणी करा,ब्याज दर 10-15%,व्याज दर 6-8%,जीवनभर,आजीवन
Rural Self-Employment Training Institute,Government,19-35,All,OBC,Below Poverty Line,Rural,Microcredit and Skill Development,Rural residents aged 18-35,"Skill training, microcredit loans",Apply at local RSETI centers,https://rseti.gov.in/,Interest rate 6-8%,6 months to 1 year,,,ग्रामीण स्व-रोजगार प्रशिक्षण संस्थान,ग्रामीण स्वयंरोजगार प्रशिक्षण संस्था,माइक्रोक्रिट और कौशल विकास,मायक्रोक्रेडिट आणि कौशल्य विकास,18-35 वर्ष की आयु के ग्रामीण निवासी,18-35 वर्षांचे ग्रामीण रहिवासी,"कौशल प्रशिक्षण, माइक्रोक्रेडिट लोन","कौशल्य प्रशिक्षण, मायक्रोक्रेडिट कर्ज",स्थानीय RSTEI केंद्रों पर आवेदन करें,स्थानिक आरएसईटीआय केंद्रांवर अर्ज करा,वार्षिक रिटर्न 5-7%,वार्षिक परतावा 5-7%,6 महीने से 1 वर्ष तक,6 महिने ते 1 वर्ष
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,National,Child Girl Child Savings Scheme,Parents or guardians can open accounts for girl children under 10,"Interest rate 7.6%, tax benefits",Visit authorized bank branches or post offices,https://sukanyayojana.com/,"Maturity amount varies with interest, approx 150,000 INR for 15 years",15 years or until girl turns 21,,Monthly or quarterly,Sukanya Samriddhi Yojana,सुकन्या साम्रिधी योजना,बाल बाल बाल बचत योजना,बाल मुलगी बाल बचत योजना,माता -पिता या अभिभावक 10 वर्ष से कम उम्र के लड़की बच्चों के लिए खाते खोल सकते हैं,Parents or guardians can open accounts for girl children under 10,"ब्याज दर 7.6%, कर लाभ","व्याज दर 7.6%, कर लाभ",अधिकृत बैंक शाखाओं या डाकघर पर जाएं,अधिकृत बँक शाखा किंवा पोस्ट ऑफिसला भेट द्या,"परिपक्वता राशि ब्याज के साथ भिन्न होती है, 15 वर्षों के लिए लगभग 150,000 INR","परिपक्वता रक्कम व्याजानुसार बदलते, 15 वर्षांसाठी अंदाजे 150,000 आयएनआर",15 साल या जब तक लड़की 21 साल की हो जाती है,15 वर्षे किंवा मुलगी 21 वर्षांचा होईपर्यंत
Mudra Loan Scheme,Government,19-60,All,General,Middle,Eastern India,Microcredit for Small Businesses,"Small and micro enterprises, self-employed individuals","Loan up to 10 lakhs INR, collateral-free",Apply through bank branches or digital portals,https://mudra.org.in/,Interest rate 8-12%,5-7 years,,Monthly,मुद्रा ऋण योजना,मुद्रा कर्ज योजना,छोटे व्यवसायों के लिए microcredit,छोट्या व्यवसायांसाठी मायक्रोक्रेडिट,"छोटे और सूक्ष्म उद्यम, स्व-नियोजित व्यक्ति","लहान आणि सूक्ष्म उद्योग, स्वयंरोजगार व्यक्ती","10 लाख तक का ऋण, संपार्श्विक-मुक्त","10 लाखांपर्यंत कर्ज, संपार्श्विक-मुक्त",बैंक शाखाओं या डिजिटल पोर्टल्स के माध्यम से आवेदन करें,बँक शाखा किंवा डिजिटल पोर्टलद्वारे अर्ज करा,ब्याज दर 8-12%,व्याज दर 8-12%,5-7 साल,5-7 वर्षे
LIC Micro Insurance Policy,Private,19-60,All,All,Below Poverty Line,Tamil Nadu,Microinsurance Coverage,Individuals below poverty line with age 18-60,"Affordable insurance cover, cashless claims",Apply at LIC branches or online,https://licindia.in/,Interest rate 5-8%,1 year to 5 years,"Low premiums, starting at 500 INR",Monthly or Annually,लाइसेंस सूक्ष्म बीमा पॉलिसी,एलईसी मायक्रो विमा पॉलिसी,माइक्रोइंस्कोरेंस कवरेज,मायक्रोइन्सुरन्स कव्हरेज,18-60 वर्ष की आयु के साथ गरीबी रेखा से नीचे के व्यक्ति,वयाच्या 18-60 सह गरीबी रेषाखालील व्यक्ती,"सस्ती बीमा कवर, कैशलेस दावे","परवडणारे विमा कव्हर, कॅशलेस दावे",LIC शाखाओं या ऑनलाइन पर आवेदन करें,एलआयसी शाखांमध्ये किंवा ऑनलाईन अर्ज करा,ब्याज दर 7-10%,व्याज दर 7-10%,1 वर्ष से 5 साल,1 वर्ष ते 5 वर्षे
Bajaj Finserv Gold Loan,Private,19-60,All,All,Upper,Urban,Asset-backed Loan,Gold owners with minimal documentation,"Quick access to liquidity, competitive interest rates",Visit Bajaj branches or apply online,https://bajajfinserv.in/,"Interest varies, typically 12-15% per annum",1-3 years,Interest plus principal at end of loan term,Monthly or quarterly,Bajaj Finserv Gold Loan,बजाज फिनसर्व सोन्याचे कर्ज,परिसंपत्ति-समर्थित ऋण,मालमत्ता-समर्थित कर्ज,न्यूनतम प्रलेखन के साथ स्वर्ण मालिक,कमीतकमी कागदपत्रे असलेले सोन्याचे मालक,"तरलता, प्रतिस्पर्धी ब्याज दरों तक त्वरित पहुंच","तरलता, स्पर्धात्मक व्याज दरात द्रुत प्रवेश",बजाज शाखाओं पर जाएँ या ऑनलाइन आवेदन करें,बजाज शाखांना भेट द्या किंवा ऑनलाईन अर्ज करा,"ब्याज भिन्न होता है, आमतौर पर प्रति वर्ष 12-15%","व्याज बदलते, सामान्यत: दरवर्षी 12-15%",1-3 साल,1-3 वर्षे
Vishwas Pension Scheme,Government,60+,All,All,All,National,Pension for Senior Citizens,Individuals above 60 years of age,"Monthly pension, health benefits",Apply at pension offices or online,https://vishwaspension.gov.in/,Interest rate 8-12%,Lifetime or until age 85+,,Monthly,विश्वस पेंशन योजना,विश्वस पेन्शन योजना,वरिष्ठ नागरिकों के लिए पेंशन,ज्येष्ठ नागरिकांसाठी पेन्शन,60 वर्ष से अधिक आयु के व्यक्ति,60 वर्षे वयोगटातील व्यक्ती,"मासिक पेंशन, स्वास्थ्य लाभ","मासिक पेन्शन, आरोग्य लाभ",पेंशन कार्यालयों या ऑनलाइन पर आवेदन करें,पेन्शन ऑफिसमध्ये किंवा ऑनलाईन अर्ज करा,ब्याज दर 8-12%,वार्षिक परतावा 5-7%,जीवनकाल या उम्र 85+ तक,आजीवन किंवा वय 85+ पर्यंत
State Bank Safai Mazdoor Micro Loan,Private,19-60,All,OBC,Below Poverty Line,Urban,Microcredit for Sanitation Workers,Sanitation workers with proof of employment,"Micro loans up to 50,000 INR, flexible repayment",Apply at State Bank branches,https://sbi.co.in/,Interest around 10-14%,1-3 years,Interest plus principal,Monthly,State Bank Safai Mazdoor Micro Loan,स्टेट बँक क्लीनिंग लेबरर मायक्रो कर्ज,स्वच्छता श्रमिकों के लिए माइक्रोक्रेडिट,स्वच्छता कामगारांसाठी मायक्रोक्रेडिट,रोजगार के प्रमाण के साथ स्वच्छता कार्यकर्ता,रोजगाराचा पुरावा असलेले स्वच्छता कामगार,"50,000 INR, लचीला पुनर्भुगतान तक सूक्ष्म ऋण","50,000 पर्यंत सूक्ष्म कर्ज, लवचिक परतफेड",स्टेट बैंक शाखाओं में आवेदन करें,स्टेट बँक शाखांमध्ये अर्ज करा,लगभग 10-14% ब्याज,सुमारे 10-14% व्याज,1-3 साल,1-3 वर्षे
Skill India Mission,Government,All,All,All,All,National,Skill Development and Training,Open to all unemployed or underemployed individuals,"Skill certification, job placement assistance",Register online or at training centers,https://skillindia.gov.in/,Interest rate 8-12%,Varies (few weeks to months),,,कौशल भारत मिशन,कौशल्य इंडिया मिशन,कौशल विकास और प्रशिक्षण,कौशल्य विकास आणि प्रशिक्षण,सभी बेरोजगार या बेरोजगार व्यक्तियों के लिए खुला,सर्व बेरोजगार किंवा बेरोजगार व्यक्तींसाठी खुले,"कौशल प्रमाणन, नौकरी प्लेसमेंट सहायता","कौशल्य प्रमाणपत्र, नोकरी प्लेसमेंट सहाय्य",ऑनलाइन या प्रशिक्षण केंद्रों पर पंजीकरण करें,ऑनलाइन किंवा प्रशिक्षण केंद्रांवर नोंदणी करा,ब्याज दर 8-12%,व्याज दर 10-15%,भिन्न होता है (कुछ सप्ताह से महीनों),बदलते (काही आठवडे ते महिने)
HDFC Micro Insurance Plan,Private,19-60,All,All,Below Poverty Line,Goa,Microinsurance Coverage,Low-income individuals,Affordable health and accident insurance,Apply at HDFC branches or online,https://hdfc.com/,Interest rate 10-15%,1-3 years,"Low premiums, starting at 400 INR",Monthly,HDFC माइक्रो बीमा योजना,एचडीएफसी मायक्रो विमा योजना,माइक्रोइंस्कोरेंस कवरेज,मायक्रोइन्सुरन्स कव्हरेज,कम आय वाले व्यक्ति,कमी उत्पन्न असलेल्या व्यक्ती,सस्ती स्वास्थ्य और दुर्घटना बीमा,परवडणारा आरोग्य आणि अपघात विमा,HDFC शाखाओं या ऑनलाइन पर आवेदन करें,एचडीएफसी शाखांमध्ये किंवा ऑनलाइन अर्ज करा,ब्याज दर 8-12%,वार्षिक परतावा 6-9%,1-3 साल,1-3 वर्षे
Kisan Credit Card Scheme,Government,19-60,All,All,Middle,Rural,Agricultural Credit,Farmers with valid land documents,"Credit for seeds, fertilizers, equipment",Apply through local cooperative societies or banks,https://pmkisan.gov.in/,Interest rate 4-8%,1 year to 5 years,,Monthly,किसान क्रेडिट कार्ड योजना,किसान क्रेडिट कार्ड योजना,कृषि ऋण,कृषी पत,वैध भूमि दस्तावेजों वाले किसान,वैध जमीन कागदपत्रे असलेले शेतकरी,"बीज, उर्वरकों, उपकरणों का श्रेय","बियाणे, खते, उपकरणे यांचे क्रेडिट",स्थानीय सहकारी समितियों या बैंकों के माध्यम से आवेदन करें,स्थानिक सहकारी संस्था किंवा बँकांद्वारे अर्ज करा,ब्याज दर 4-8%,व्याज दर 4-8%,1 वर्ष से 5 साल,1 वर्ष ते 5 वर्षे
ICICI Bank Edusave Scheme,Private,6-18,All,All,All,South India,Child Education Savings,Parents or guardians can open accounts for children aged 0-18,"Interest rate 6%, educational expense coverage",Open account at ICICI branches or online,https://icicibank.com/,"Interest compounded annually, potential 100,000 INR in 10 years",10 years or until child turns 18,,Monthly or quarterly,आईसीआईसीआई बैंक एडुसाव योजना,आयसीआयसीआय बँक एडुसेव्ह योजना,बाल शिक्षा बचत,बाल शिक्षण बचत,माता-पिता या अभिभावक 0-18 वर्ष की आयु के बच्चों के लिए खाते खोल सकते हैं,पालक किंवा पालक 0-18 वयोगटातील मुलांसाठी खाती उघडू शकतात,"ब्याज दर 6%, शैक्षिक व्यय कवरेज","व्याज दर 6%, शैक्षणिक खर्चाचे कव्हरेज",ICICI शाखाओं या ऑनलाइन पर खाता खोलें,आयसीआयसीआय शाखांमध्ये किंवा ऑनलाइन ओपन खाते,"ब्याज सालाना, 10 वर्षों में संभावित 100,000 INR","वर्षाकाठी व्याज वाढते, 10 वर्षात संभाव्य 100,000 आयएनआर",10 साल या जब तक बच्चा 18 साल का हो जाता है,10 वर्षे किंवा मूल 18 वर्षांचे होईपर्यंत
NABARD Rural Development Fund,Government,All,All,All,All,Bihar,Rural Development Funding,Rural development projects approved by NABARD,"Funding support, technical assistance",Submit proposals via NABARD channels,https://nabard.org/,Annual return 4-6%,As per project requirements,,,नाबर्ड ग्रामीण विकास निधि,नाबार्ड ग्रामीण विकास निधी,ग्रामीण विकास वित्त पोषण,ग्रामीण विकास निधी,ग्रामीण विकास परियोजनाएं नाबार्ड द्वारा अनुमोदित हैं,नाबार्डने मंजूर ग्रामीण विकास प्रकल्प,"वित्त पोषण सहायता, तकनीकी सहायता","निधी समर्थन, तांत्रिक सहाय्य",Nabard चैनलों के माध्यम से प्रस्ताव प्रस्तुत करें,नाबार्ड चॅनेलद्वारे प्रस्ताव सबमिट करा,ब्याज दर 9-13%,वार्षिक परतावा 5-7%,परियोजना की आवश्यकताओं के अनुसार,प्रकल्पाच्या आवश्यकतेनुसार
Aadhar Housing Scheme,Government,19-60,All,All,Middle,South India,Housing for Middle Income Group,Middle-income households,Affordable housing loans,Apply through participating banks,https://aadharhousing.gov.in/,Interest rate 7-9%,15-30 years,,Monthly,आम आवास योजना,आधार गृहनिर्माण योजना,मध्यम आय समूह के लिए आवास,मध्यम उत्पन्न गटासाठी गृहनिर्माण,मध्य-आय वाले घर,मध्यम-उत्पन्न घरे,किफायती आवास ऋण,परवडणारी गृहनिर्माण कर्जे,भाग लेने वाले बैंकों के माध्यम से आवेदन करें,सहभागी बँकांद्वारे अर्ज करा,ब्याज दर 7-9%,व्याज दर 7-9%,15-30 वर्ष,15-30 वर्षे
Tata Power Solar Subsidy,Private,All,All,All,All,Central India,Renewable Energy Adoption,Homeowners installing solar panels,Subsidy up to 30% on equipment costs,Apply through Tata Power authorized dealers,https://tatapower.com/,Interest rate 8-12%,Lifetime,Cost of installation minus subsidy,,टाटा बिजली सौर सब्सिडी,टाटा पॉवर सौर अनुदान,नवीकरणीय ऊर्जा दत्तक ग्रहण,नूतनीकरणयोग्य उर्जा दत्तक,सौर पैनल स्थापित करने वाले गृहस्वामी,घरमालक सौर पॅनेल स्थापित करीत आहेत,उपकरण लागत पर 30% तक की सब्सिडी,उपकरणांच्या खर्चावर 30% पर्यंत अनुदान,TATA पावर अधिकृत डीलरों के माध्यम से आवेदन करें,टाटा पॉवर अधिकृत विक्रेत्यांद्वारे अर्ज करा,ब्याज दर 8-12%,व्याज दर 5-8%,जीवनभर,आजीवन
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India-wide,Bank Accounts and Financial Inclusion,Open to all citizens above 10 years of age,"Basic banking account, zero balance, debit card",Visit a bank branch with ID proof,https://pmjdy.gov.in/,Annual return 4-6%,,,,Pradhan Mantri Jan Dhan Yojana,प्रधान मंत्र जान धन योजना,बैंक खाते और वित्तीय समावेशन,बँक खाती आणि आर्थिक समावेश,10 वर्ष से अधिक आयु के सभी नागरिकों के लिए खुला,10 वर्षांपेक्षा जास्त वयाच्या सर्व नागरिकांसाठी खुले,"बुनियादी बैंकिंग खाता, शून्य संतुलन, डेबिट कार्ड","मूलभूत बँकिंग खाते, शून्य शिल्लक, डेबिट कार्ड",आईडी प्रूफ के साथ एक बैंक शाखा पर जाएँ,आयडी पुराव्यासह बँक शाखेत भेट द्या,ब्याज दर 7-10%,व्याज दर 5-8%,,
Atal Pension Yojana,Government,18-60,All,All,Middle,India-wide,Pension for unorganized sector workers,Unorganized sector workers aged 18-40,Monthly pension after 60,Register via bank or online portal,https://www.pensiondetails.in/,"Monthly pension, 8% interest rate",Lifetime,Varies based on contribution,Monthly,अटल पेंशन योजना,अटल पेन्शन योजना,असंगठित क्षेत्र के श्रमिकों के लिए पेंशन,असंघटित क्षेत्रातील कामगारांसाठी पेन्शन,18-40 वर्ष की आयु के असंगठित क्षेत्र के श्रमिक,18-40 वयोगटातील असंघटित क्षेत्रातील कामगार,60 के बाद मासिक पेंशन,60 नंतर मासिक पेन्शन,बैंक या ऑनलाइन पोर्टल के माध्यम से पंजीकरण करें,बँक किंवा ऑनलाइन पोर्टलद्वारे नोंदणी करा,"मासिक पेंशन, 8% ब्याज दर","मासिक पेन्शन, 8% व्याज दर",जीवनभर,आजीवन
