age,gender,social_category,annual_income_group,location,matched_scheme
76,Male,ST,Low Income,Urban,Financial Literacy Campaigns by Private Firms
23,Female,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
20,Male,OBC,High Income,Rural,Digital Financial Literacy Program
50,Female,SC,Low Income,Urban,Banking Correspondent Scheme
79,Male,General,High Income,Rural,Financial Literacy Campaigns by Private Firms
74,Male,SC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
58,Female,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
41,Male,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
44,Male,OBC,Below Poverty Line,Urban,Banking Correspondent Scheme
43,Male,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
31,Female,SC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
63,Female,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
37,Male,SC,Middle Income,Rural,Banking Correspondent Scheme
61,Other,SC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
59,Female,OBC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
49,Male,SC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
48,Other,General,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
59,Female,ST,Low Income,Rural,Financial Literacy Campaigns by Private Firms
43,Male,SC,Middle Income,Urban,Banking Correspondent Scheme
77,Other,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
25,Female,OBC,High Income,Urban,Banking Correspondent Scheme
21,Male,OBC,Below Poverty Line,Urban,Digital Payment Incentive
69,Male,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
21,Other,General,Below Poverty Line,Rural,LIC Micro Insurance Policy
54,Other,OBC,Low Income,Rural,Banking Correspondent Scheme
77,Other,SC,High Income,Urban,Financial Literacy Campaigns by Private Firms
47,Male,SC,Below Poverty Line,Urban,Banking Correspondent Scheme
79,Female,OBC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
78,Male,ST,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
39,Other,ST,Low Income,Rural,Banking Correspondent Scheme
35,Male,SC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
60,Male,General,Below Poverty Line,Rural,LIC Micro Insurance Policy
59,Other,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
37,Female,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
73,Female,SC,High Income,Urban,Financial Literacy Campaigns by Private Firms
78,Other,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
20,Male,OBC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
57,Other,General,Low Income,Urban,Banking Correspondent Scheme
68,Male,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
35,Female,General,High Income,Rural,Financial Literacy Campaigns by Private Firms
60,Female,SC,High Income,Urban,Financial Literacy Campaigns by Private Firms
31,Male,ST,High Income,Urban,Digital Payment Incentive
46,Male,OBC,Middle Income,Rural,Banking Correspondent Scheme
35,Female,OBC,High Income,Urban,Digital Payment Incentive
20,Male,OBC,Low Income,Rural,Banking Correspondent Scheme
37,Male,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
69,Male,General,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
40,Male,SC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
38,Other,SC,Middle Income,Urban,Banking Correspondent Scheme
32,Female,SC,High Income,Urban,Banking Correspondent Scheme
29,Male,OBC,Middle Income,Urban,Banking Correspondent Scheme
52,Other,ST,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
35,Female,ST,Below Poverty Line,Rural,LIC Micro Insurance Policy
51,Other,ST,High Income,Rural,Banking Correspondent Scheme
26,Male,OBC,Low Income,Rural,Banking Correspondent Scheme
65,Female,SC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
61,Male,OBC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
72,Male,OBC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
59,Other,ST,Middle Income,Rural,Banking Correspondent Scheme
56,Female,General,Below Poverty Line,Urban,LIC Micro Insurance Policy
45,Male,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
48,Male,ST,Low Income,Urban,Banking Correspondent Scheme
42,Female,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
26,Male,ST,Middle Income,Rural,Digital Payment Incentive
35,Female,General,Middle Income,Rural,Digital Financial Literacy Program
38,Other,General,Middle Income,Rural,Banking Correspondent Scheme
78,Other,General,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
47,Female,General,Low Income,Urban,Financial Literacy Campaigns by Private Firms
23,Male,OBC,Below Poverty Line,Urban,Digital Payment Incentive
62,Male,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
46,Other,ST,Below Poverty Line,Rural,Banking Correspondent Scheme
78,Other,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
71,Female,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
69,Female,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
71,Female,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
26,Female,ST,Low Income,Urban,Digital Financial Literacy Program
55,Other,OBC,Below Poverty Line,Rural,Banking Correspondent Scheme
61,Male,OBC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
73,Female,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
38,Female,OBC,Below Poverty Line,Urban,Banking Correspondent Scheme
40,Other,ST,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
51,Other,SC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
39,Male,General,Middle Income,Rural,Banking Correspondent Scheme
79,Other,SC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
20,Male,General,High Income,Rural,Digital Financial Literacy Program
36,Male,ST,High Income,Urban,Financial Literacy Campaigns by Private Firms
19,Other,ST,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
66,Female,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
73,Other,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
49,Female,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
75,Male,General,High Income,Rural,Financial Literacy Campaigns by Private Firms
69,Male,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
58,Female,OBC,Low Income,Urban,Banking Correspondent Scheme
23,Male,General,Low Income,Urban,Digital Payment Incentive
65,Other,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
64,Female,ST,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
26,Other,OBC,Low Income,Rural,Digital Financial Literacy Program
32,Other,SC,Low Income,Urban,Banking Correspondent Scheme
30,Female,ST,Low Income,Urban,Banking Correspondent Scheme
31,Male,SC,Low Income,Urban,Digital Payment Incentive
76,Other,General,High Income,Rural,Financial Literacy Campaigns by Private Firms
71,Other,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
42,Female,OBC,Low Income,Rural,Banking Correspondent Scheme
47,Female,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
78,Other,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
30,Other,General,High Income,Urban,Banking Correspondent Scheme
66,Other,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
71,Female,ST,High Income,Urban,Financial Literacy Campaigns by Private Firms
73,Other,OBC,High Income,Urban,Financial Literacy Campaigns by Private Firms
48,Other,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
24,Female,SC,Below Poverty Line,Rural,Digital Financial Literacy Program
27,Other,OBC,High Income,Urban,Digital Financial Literacy Program
60,Female,ST,High Income,Urban,Banking Correspondent Scheme
66,Female,ST,High Income,Urban,Financial Literacy Campaigns by Private Firms
22,Other,General,Low Income,Rural,Digital Financial Literacy Program
58,Male,General,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
60,Other,OBC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
26,Female,ST,Below Poverty Line,Urban,Digital Financial Literacy Program
33,Male,SC,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
70,Male,OBC,High Income,Urban,Financial Literacy Campaigns by Private Firms
70,Other,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
59,Male,General,Middle Income,Urban,Banking Correspondent Scheme
28,Other,ST,High Income,Urban,Financial Literacy Campaigns by Private Firms
18,Male,General,Below Poverty Line,Rural,Digital Financial Literacy Program
45,Other,OBC,Middle Income,Rural,Banking Correspondent Scheme
22,Female,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
60,Other,OBC,Middle Income,Rural,Banking Correspondent Scheme
46,Male,General,Middle Income,Rural,Banking Correspondent Scheme
60,Female,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
54,Male,OBC,High Income,Urban,Banking Correspondent Scheme
30,Other,ST,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
54,Female,SC,Below Poverty Line,Urban,Banking Correspondent Scheme
22,Male,General,Middle Income,Rural,Digital Financial Literacy Program
63,Female,OBC,High Income,Urban,Financial Literacy Campaigns by Private Firms
31,Male,General,High Income,Urban,Digital Payment Incentive
70,Other,OBC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
26,Other,OBC,Below Poverty Line,Urban,Digital Payment Incentive
38,Male,SC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
52,Female,OBC,Below Poverty Line,Rural,Mahila Microfinance Initiative
53,Other,General,High Income,Urban,Banking Correspondent Scheme
40,Female,OBC,Below Poverty Line,Rural,Mahila Microfinance Initiative
21,Female,ST,Low Income,Urban,Digital Payment Incentive
39,Female,ST,Middle Income,Rural,Banking Correspondent Scheme
46,Female,SC,High Income,Rural,Banking Correspondent Scheme
25,Male,ST,Below Poverty Line,Urban,Digital Payment Incentive
74,Female,ST,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
27,Male,OBC,Low Income,Urban,Banking Correspondent Scheme
42,Female,General,Low Income,Urban,Banking Correspondent Scheme
64,Other,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
65,Female,General,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
50,Other,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
24,Female,ST,Below Poverty Line,Rural,Digital Payment Incentive
41,Male,OBC,Middle Income,Rural,Banking Correspondent Scheme
45,Female,ST,High Income,Urban,Banking Correspondent Scheme
52,Male,SC,High Income,Urban,Financial Literacy Campaigns by Private Firms
58,Female,SC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
57,Female,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
56,Other,SC,Below Poverty Line,Rural,Banking Correspondent Scheme
66,Male,General,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
63,Other,General,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
71,Other,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
51,Other,General,High Income,Rural,Banking Correspondent Scheme
67,Other,ST,High Income,Urban,Financial Literacy Campaigns by Private Firms
51,Female,OBC,Middle Income,Rural,Banking Correspondent Scheme
40,Other,OBC,Below Poverty Line,Urban,LIC Micro Insurance Policy
35,Male,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
61,Male,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
35,Other,ST,Low Income,Urban,Financial Literacy Campaigns by Private Firms
78,Male,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
68,Male,SC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
26,Male,ST,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
44,Male,SC,High Income,Rural,Banking Correspondent Scheme
23,Male,OBC,Below Poverty Line,Rural,Digital Payment Incentive
47,Female,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
67,Female,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
20,Other,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
53,Male,General,High Income,Urban,Financial Literacy Campaigns by Private Firms
66,Other,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
64,Male,ST,High Income,Urban,Financial Literacy Campaigns by Private Firms
24,Female,ST,Low Income,Rural,Banking Correspondent Scheme
38,Other,SC,High Income,Urban,Banking Correspondent Scheme
70,Male,OBC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
52,Male,ST,Low Income,Urban,Banking Correspondent Scheme
59,Male,OBC,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
18,Male,General,Low Income,Urban,Digital Financial Literacy Program
35,Male,ST,Below Poverty Line,Urban,Digital Payment Incentive
49,Female,General,High Income,Urban,Banking Correspondent Scheme
58,Female,General,Middle Income,Urban,Banking Correspondent Scheme
72,Female,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
64,Other,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
24,Female,ST,Below Poverty Line,Rural,LIC Micro Insurance Policy
63,Other,SC,High Income,Rural,Financial Literacy Campaigns by Private Firms
74,Female,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
45,Male,ST,Middle Income,Urban,Banking Correspondent Scheme
68,Male,General,High Income,Urban,Financial Literacy Campaigns by Private Firms
36,Female,General,High Income,Urban,Financial Literacy Campaigns by Private Firms
54,Female,SC,Middle Income,Rural,Banking Correspondent Scheme
65,Other,SC,Low Income,Rural,Financial Literacy Campaigns by Private Firms
64,Female,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
23,Other,OBC,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
22,Other,ST,Below Poverty Line,Rural,Digital Payment Incentive
44,Other,SC,Middle Income,Urban,Banking Correspondent Scheme
50,Male,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
74,Female,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
43,Male,OBC,Below Poverty Line,Rural,Mahila Microfinance Initiative
51,Other,OBC,High Income,Urban,Banking Correspondent Scheme
37,Other,ST,Low Income,Rural,Banking Correspondent Scheme
72,Male,ST,Low Income,Rural,Financial Literacy Campaigns by Private Firms
56,Male,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
73,Other,ST,High Income,Urban,Financial Literacy Campaigns by Private Firms
72,Other,OBC,High Income,Urban,Financial Literacy Campaigns by Private Firms
30,Other,OBC,Below Poverty Line,Rural,Microcredit Plus
59,Other,General,Middle Income,Rural,Banking Correspondent Scheme
66,Other,OBC,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
34,Female,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
31,Female,OBC,High Income,Urban,Banking Correspondent Scheme
76,Female,SC,High Income,Rural,Financial Literacy Campaigns by Private Firms
66,Female,OBC,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
76,Other,General,High Income,Urban,Financial Literacy Campaigns by Private Firms
37,Male,SC,Low Income,Urban,Financial Literacy Campaigns by Private Firms
59,Male,General,Below Poverty Line,Urban,LIC Micro Insurance Policy
27,Male,ST,High Income,Rural,Digital Financial Literacy Program
37,Other,ST,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
38,Other,SC,Low Income,Urban,Banking Correspondent Scheme
60,Male,OBC,Below Poverty Line,Rural,Financial Literacy Campaigns by Private Firms
48,Male,SC,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
63,Female,ST,Below Poverty Line,Urban,Financial Literacy Campaigns by Private Firms
79,Other,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
26,Other,ST,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
76,Female,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
71,Female,General,Low Income,Rural,Financial Literacy Campaigns by Private Firms
33,Male,OBC,High Income,Rural,Digital Financial Literacy Program
29,Other,OBC,Middle Income,Urban,Digital Payment Incentive
34,Male,OBC,Below Poverty Line,Urban,Digital Financial Literacy Program
18,Female,OBC,High Income,Urban,Digital Financial Literacy Program
21,Female,ST,High Income,Rural,Banking Correspondent Scheme
47,Female,General,Below Poverty Line,Rural,Rural Credit Guarantee Scheme
24,Male,ST,Low Income,Urban,Banking Correspondent Scheme
42,Male,SC,Middle Income,Rural,Banking Correspondent Scheme
24,Female,SC,Below Poverty Line,Urban,LIC Micro Insurance Policy
69,Female,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
72,Other,ST,High Income,Rural,Financial Literacy Campaigns by Private Firms
48,Female,OBC,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
47,Male,ST,Low Income,Urban,Banking Correspondent Scheme
68,Male,OBC,High Income,Urban,Financial Literacy Campaigns by Private Firms
46,Other,General,Middle Income,Urban,Financial Literacy Campaigns by Private Firms
53,Male,ST,High Income,Urban,Banking Correspondent Scheme
46,Male,SC,Low Income,Urban,Banking Correspondent Scheme
49,Male,General,Middle Income,Rural,Financial Literacy Campaigns by Private Firms
62,Other,OBC,High Income,Rural,Financial Literacy Campaigns by Private Firms
57,Female,General,Middle Income,Rural,Banking Correspondent Scheme
30,Male,OBC,High Income,Urban,Digital Financial Literacy Program
59,Other,General,Middle Income,Rural,Banking Correspondent Scheme
52,Other,ST,High Income,Urban,Banking Correspondent Scheme
33,Other,ST,Middle Income,Rural,Digital Payment Incentive
40,Female,SC,Below Poverty Line,Rural,LIC Micro Insurance Policy
28,Male,OBC,Below Poverty Line,Rural,Mahila Microcredit Scheme
