scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration,amount_to_be_paid,payment_interval
Stand Up India Scheme,Government,All,All,SC,Below Poverty Line,All India,Entrepreneurship and Microenterprise Development,"SC/ST entrepreneurs, Business plan, Bank approval","Loans up to 1 crore INR, Credit guarantee",Apply through designated bank branches,https://standupindia.gov.in,Interest rate 9-12%,Up to 7 years,Interest plus principal,Monthly
Digital India Scheme,Government,All,All,All,All,All India,Digital Literacy and Infrastructure Development,"All citizens, institutions","Access to digital services, Infrastructure upgrades",Register online or via local government offices,https://digitalindia.gov.in,N/A,Ongoing,N/A,N/A
Bajaj Finserv EMI Card,Private,18-60,All,All,Middle,Urban India,"Consumer Finance, Easy EMIs","Income proof, Identity proof","Interest-free EMIs, Instant approval",Apply online or at stores,https://bajajfinserv.in,Interest as per EMI plan,Varies by purchase,Depends on purchase,Monthly
HDFC Bank Insta Loan,Private,21-60,All,All,Upper,Urban India,"Personal Loans, Quick Disbursal","Bank account, Income proof","Quick approval, No collateral needed",Apply online or at bank branches,https://hdfcbank.com,Interest rate 10-15%,Up to 3 years,Interest plus principal,Monthly
Kotak Mahindra Credit Card,Private,18-65,All,All,Middle,Urban India,"Consumer Credit, Convenience Payments","Income proof, Credit check","Credit limit up to 5 lakh INR, Rewards & Offers",Apply online or at branch,https://kotak.com,Interest on outstanding balance,N/A,N/A or minimum payment due,Monthly
Paytm Payments Bank Account,Private,18-60,All,All,Middle,Urban India,"Digital Banking, Payments","KYC compliant, Resident of India","Zero balance account, Fast transactions",Apply online or at Paytm store,https://paytm.com,N/A,N/A,N/A,N/A
LIC Micro Insurance Scheme,Private,18-60,All,All,Below Poverty Line,Rural India,Micro Insurance Coverage,"Low-income individuals, rural residents","Affordable insurance premiums, Coverage against common risks",Apply at LIC branches or via agents,https://licindia.in,N/A,N/A,Premium varies,Monthly
National Rural Employment Guarantee Act (MGNREGA),Government,18-60,All,All,Below Poverty Line,Rural India,Employment Generation,"All rural households, registered under scheme","Wage employment, Skill development",Register at local employment office,https://nrega.nic.in,N/A,N/A,Wages as per government rates,Weekly
Retirement Benefit Scheme (NPS),Government,60+,All,All,All,All India,Pension Security,"All citizens, mandatory for government employees","Monthly pension, Tax benefits",Register online or through authorized agents,https://npsindia.in,"Interest rates vary, maturity value depends on contributions",Lifetime,Depends on contributions and interest,Monthly
Mutual Funds SIP,Private,19-65,All,All,Middle,All India,"Investment, Wealth Growth","KYC compliant, Income proof","Potential higher returns, Diversified portfolio",Apply through mutual fund platforms or banks,https://mfplatform.com,Average 12-15% annual returns,"Flexible, typically 5+ years",Minimum 500 INR per month,Monthly
LIC New Endowment Plan,Private,18-60,All,All,Upper,All India,"Life Insurance, Savings","Age 18-60, KYC compliant","Life cover, Maturity benefits, Tax benefits",Apply at LIC branches or online,https://licindia.in,"Maturity amount varies, interest rate around 6-8%",15-20 years,Premium varies based on plan,Monthly or Yearly
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Bank Account Access for All,Open to all citizens aged 6 and above,"Zero balance accounts, overdraft facility, and insurance",Visit nearest bank branch or online portal to open an account,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Mudra Yojana,Government,19-35,All,All,Below Poverty Line,All India,Microcredit for small businesses,Small business owners or entrepreneurs with micro units,"Loan amount up to 10 lakh INR, interest subsidy",Apply through bank branches or online portal,https://mudrayojana.com,Interest rate 8-12% per annum,5-7 years,Variable based on loan amount,Monthly
Rural Electrification Savings Scheme,Government,All,All,All,All,Rural areas,Promote savings for electricity connection,Residents of rural areas applying for electricity connection,"Savings account with interest, priority for electricity connection",Apply at local electricity offices or via online portal,https://ruralelectricity.gov.in,Interest rate 4%,3 years,N/A,Annually
Private Health Insurance Plan,Private,36-60,All,All,Middle,Urban,Health insurance coverage,Employees earning above 5 lakh INR annually,"Coverage for hospitalization, outpatient treatments, maternity benefits",Apply through company HR or online portal,https://privatehealthinsurance.com,N/A,1 year renewable,"20,000 INR annually",Annually
Senior Citizens Pension Scheme,Government,60+,All,All,All,All India,Retirement pension,Citizens above 60 years with valid ID,Monthly pension of 2000 INR,Apply at local government offices or online,https://seniorspension.gov.in,N/A,Lifetime,N/A,Monthly
OBC Skill Development Fund,Government,19-35,All,OBC,Middle,All India,Skill development and training,OBC community members seeking skill training,"Financial support for training courses, certification fees",Apply through local skill centers or online,https://obcskill.gov.in,N/A,6 months to 1 year,N/A,N/A
Women Entrepreneurship Support Program,Government,19-35,Female,All,Middle,Urban and Rural,Promoting women-led startups,Women with business ideas or startups,"Seed funding, mentorship, training",Online portal registration,https://womentrepreneurship.gov.in,N/A,3 years,N/A,N/A
Universal Savings Scheme,Private,6-60,All,All,All,All India,Universal savings and investment,Open to all citizens above age 6,"Flexible deposit options, tax benefits",Open account at partner banks or online,https://universalsavings.com,Interest rate 5-7%,N/A,Variable,Monthly
Child Education Savings Plan,Private,0-18,All,All,Middle,Urban and Rural,Savings for child education,Parents or guardians of children under 18,"Tax benefits, guaranteed interest, flexible deposits",Apply via partner banks or online portals,https://childsavingsplan.com,Interest rate 6-8%,N/A,Variable,Monthly
Micro Insurance for Farmers,Government,19-60,All,All,Below Poverty Line,Rural,Crop and livestock insurance,Farmers with land or livestock,"Coverage against crop failure, livestock health issues",Apply at local agriculture offices or online,https://microinsurancefarmers.gov.in,N/A,Annual coverage renewal,Variable based on risk and crop/livestock,Annually
Digital Payment Incentive Scheme,Government,19-60,All,All,All,Urban,Promote digital transactions,All smartphone users with bank accounts,Cashback incentives for digital transactions,Register via online portal or bank apps,https://digitalpayment.gov.in,N/A,N/A,N/A,N/A
Private Savings Club,Private,All,All,All,All,Urban,Encourage savings among urban populations,Open to all residents of urban areas,"Group savings, interest, social benefits",Join through local groups or online,https://privatesavingsclub.com,Interest 3-6% annually,Ongoing,N/A,Monthly
Rural Microfinance Initiative,Government,19-60,All,All,Below Poverty Line,Rural,Microfinance for rural entrepreneurs,Rural residents with income-generating activities,"Loans, financial training, mentoring",Apply through local rural banks or online,https://ruralmicrofinance.gov.in,Interest rate 10-14%,1-5 years,Variable based on loan,Monthly or quarterly
Skill Enhancement for Youth,Government,19-35,All,All,Middle,All India,Skill development for employment,Youth seeking employment or skill upgrading,"Skill training, certification, job placement assistance",Apply via government portals or local centers,https://skillempower.gov.in,N/A,3-6 months,N/A,N/A
Urban Housing Subsidy Scheme,Government,19-60,All,All,Middle,Urban,Affordable housing for urban poor,Urban residents below 5 lakh INR annual income,Subsidized housing units,Apply at local municipal offices or online,https://urbanhousing.gov.in,N/A,N/A,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,All India,Financial Inclusion and Banking Access,Open to all citizens of India,"Free zero-balance bank account, RuPay debit card",Visit bank branch or online portal with ID proof,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Aadhaar Enabled Payment System,Government,All,All,All,All,All India,Digital Payments and Financial Accessibility,Requires Aadhaar registration,"Easy digital payment options, linking with bank accounts",Register via UIDAI or banking partner,https://uidai.gov.in,N/A,Lifetime,N/A,N/A
Micro Units Development and Refinance Agency (MUDRA) Loan,Government,19-60,All,All,Below Poverty Line,Rural and Urban India,Microcredit for small businesses,"Small business owner, entrepreneur",Collateral-free loans up to INR 10 lakh,Apply through bank or NBFCs authorized by MUDRA,https://mudra.org.in,Interest rate 10-12% p.a.,Up to 5 years,Interest + principal,Monthly
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child Girl Child Savings,Parents or guardians of girl children,"Tax benefits, attractive interest rate, maturity amount in INR",Apply at bank or post office with guardianship proof,https://sukanyasamriddhi.nic.in,Interest rate 7.6% p.a.,21 years or on girl’s marriage/education,As per initial deposit,One-time or monthly
Swachh Bharat Abhiyan Microfinance,Private,All,All,All,Below Poverty Line,Rural India,Funding for sanitation projects and entrepreneurship,"Micro-entrepreneurs, local sanitation projects","Loan for sanitation facilities, entrepreneurship support",Application through local NGOs or banks,https://sbm.gov.in,Interest rate 8-10% p.a.,1-3 years,Interest + principal,Monthly
Lakhpati Kisan Yojana,Government,19-60,All,All,Middle,Rural areas,Agricultural income enhancement and savings,Small and marginal farmers,"Savings account, interest benefits, financial literacy",Register via banking channels or local cooperative societies,https://kishan.gov.in,Interest rate 4-6% p.a.,Lifetime,N/A,N/A
Digital India Cashless Campaign,Government,All,All,All,All,All India,Promote cashless transactions and digital payments,All citizens with mobile banking access,"Increased digital literacy, transaction convenience",Register via mobile banking app or digital platforms,https://digitalindia.gov.in,N/A,Ongoing,N/A,N/A
Vikash Microfinance for Women,Private,19-60,Female,OBC,Below Poverty Line,Rural and Urban India,Empower women through microfinance,Women entrepreneurs or small business owners,"Microloans up to INR 5 lakh, skill development support",Application through partnered microfinance institutions,https://vikashmicrofin.in,Interest rate 12-15% p.a.,Up to 3 years,Interest + principal,Monthly
Scholarship for Minority Students,Government,19-25,All,Minority,Middle,All India,Educational financial assistance,Minority students enrolled in recognized colleges,"Scholarship amount varies, tuition fee support",Apply through educational institutions or online portal,https://momas.gov.in,N/A,During course duration,N/A,N/A
Rural Self Employment Training Institute (RSETI),Government,19-50,All,All,Below Poverty Line,Rural India,Skill development for self-employment,"Unemployed rural youth, small farmers","Training, credit linkages, entrepreneurship support",Apply via local RSETI center,https://rseti.gov.in,N/A,3-6 months,N/A,N/A
Startup India Seed Fund Scheme,Government,All,All,All,All,All India,Support early-stage startups,"Startup registration with DPIIT, innovative business idea","Seed funding, mentorship, incubation support",Apply online via Startup India portal,https://startupindia.gov.in,N/A,Up to 2 years,N/A,N/A
Gold Loan Scheme for Farmers,Private,19-60,All,All,All,Rural India,Crop financing and agricultural investment,Farmers with landholding,"Loans against gold collateral, flexible repayment",Apply at bank branches or authorized lending institutions,https://banking.gov.in,Interest rate 9-11% p.a.,Up to 3 years,Interest + principal,Monthly
Rural Women Entrepreneurship Fund,Private,19-50,Female,OBC,Below Poverty Line,Rural India,Support women entrepreneurs in rural areas,"Women with business plans, small enterprises","Microloans, skill development, market linkages",Application through local microfinance institutions,https://rwif.gov.in,Interest rate 10-14% p.a.,Up to 3 years,Interest + principal,Monthly
NPA Recovery Support Scheme,Government,All,All,All,All,All India,Debt recovery and financial restructuring,Banks and financial institutions for NPAs,"Assistance in NPA recovery, restructuring options",Apply through RBI or authorized agencies,https://rbi.org.in,N/A,As required,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,0-60,All,All,Below Poverty Line,India,Bank account linkage for financial inclusion,Any Indian citizen,"Zero balance account, insurance coverage",Visit a bank branch with ID proof,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Senior Citizens Savings Scheme,Government,60+,All,All,Middle,India,Retirement savings,Senior citizens of India,"Interest rate 7.4%, tax benefits",Apply at designated banks or post offices,https://savs.gov.in,Interest rate 7.4% p.a.,5 years (renewable),N/A,N/A
Micro Units Development Fund,Private,19-60,All,OBC,Below Poverty Line,Rural,Microcredit for small entrepreneurs,Small entrepreneurs with valid business registration,"Access to affordable microloans, capacity building",Submit business plan and documents at partner institutions,https://mudf.in,Interest rate 12-15%,1-3 years,Varies by loan amount,Monthly
Rural Credit Scheme,Government,19-60,All,General,Below Poverty Line,Rural,Providing affordable credit to rural farmers,Farmers with valid land documents,"Low-interest loans, flexible repayment",Apply through local banks or cooperative societies,https://ruralcredit.gov.in,Interest rate 9-11%,1-5 years,Interest + principal,Quarterly
Women’s Savings and Credit Scheme,Government,19-60,Female,All,Middle,Urban,Financial empowerment of women,"Women aged 19-60, resident of India","Savings account with loan facilities, training programs",Apply through designated banks or NGOs,https://womenfinancial.gov.in,N/A,Lifetime,N/A,N/A
Mutual Funds for Youth,Private,18-35,All,All,Upper,Urban,Encourage youth to invest in mutual funds,Individuals aged 18-35 with valid ID,"Investment in diversified mutual funds, tax benefits","Register online, KYC verification",https://mutualfunds4youth.in,Average 10-15% annual return,N/A,Minimum investment of INR 5000,One-time or Monthly
Prime Minister’s People’s Pension,Government,60+,All,All,All,India,Providing pension to senior citizens,Senior citizens of India,"Monthly pension, healthcare benefits",Register at pension offices or online,https://pension.gov.in,N/A,Lifetime,N/A,Monthly
Startup Credit Line,Private,19-45,All,All,Upper,Urban,Supporting startups with credit,Startups with valid registration and business plan,"Access to affordable credit, mentorship",Online application through partner banks,https://startupcredit.in,Interest rate 10-13%,2-5 years,Interest + principal,Monthly
Skill Development Loan,Government,18-40,All,OBC,Middle,"Urban,Rural",Funding skill development courses,Applicants enrolled in approved courses,"Loan at concessional rates, repayment after course completion",Apply at designated banks or online portal,https://skillloan.gov.in,Interest rate 8-10%,1-3 years,Interest + principal,Monthly
Self-Help Group Finance Scheme,Government,19-60,All,OBC,Below Poverty Line,Rural,Financing SHGs for microenterprise development,SHGs registered with government authorities,"Loan at low interest, capacity building support",Apply through local banks or cooperative societies,https://shgfinance.gov.in,Interest rate 9-12%,1-3 years,Interest + principal,Quarterly
National Digital Payments Initiative,Government,All,All,All,All,India,Promote digital payments and financial literacy,All residents of India,"Cashback offers, digital literacy programs",Download app or visit website to register,https://ndpi.gov.in,N/A,Ongoing,N/A,N/A
Corporate Microfinance Partnership,Private,19-60,All,All,Middle,Urban,Microfinance support for small businesses,Small business owners with valid registration,"Microloans, business development support",Application through partner financial institutions,https://microfinancepartnership.in,Interest rate 12-15%,1-3 years,Interest + principal,Monthly
Educational Loan Scheme,Private,18-35,All,All,Upper,All,Funding higher education,Students admitted to recognized universities,"Loan at concessional rates, flexible repayment",Apply online or through banks,https://educationloan.gov.in,Interest rate 8-10%,N/A,Interest + principal,Monthly
Rural Housing Scheme,Government,All,All,All,Below Poverty Line,Rural,Affordable housing for rural poor,Rural residents with land documents,Low-interest housing loans,Apply through rural development offices,https://ruralhousing.gov.in,Interest rate 7-9%,10-20 years,Interest + principal,Monthly
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Savings and Banking Access,Open to all citizens above 10 years,"Basic banking account, overdraft facility",Online or bank branch registration with ID proof,https://pmjdy.gov.in,N/A,Lifetime,N/A,N/A
Atal Pension Yojana,Government,18-60,All,All,All,All India,Pension Planning,Residents aged 18-40 with a savings bank account,Monthly pension post retirement,Registration through bank or online portal,https://pensionseindia.gov.in,Variable depending on contributions and market factors,Lifetime,Varies,Monthly
Microcredit for Women,Private,19-35,Female,OBC,Below Poverty Line,Rural Areas,Microcredit and Income Generation,Women in rural areas with low income,Small loans for income-generating activities,Application at local microfinance institution,https://microfinanceindia.org,Interest rate 12-15% per annum,1-5 years,Based on loan amount,Monthly
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child Girl Education and Marriage Savings,Parent or guardian of girl child,Interest and maturity amount in INR,Offline and online registration,https://sukanyasamriddhi.india.gov.in,Interest rate 7-8% per annum,21 years from opening,Minimum Rs. 250/year,One-time or Yearly
Kisan Credit Card,Government,19-60,All,All,All,Rural Areas,Agricultural Credit,Farmers with landholding documents,Credit for crop purchase and other needs,Application at bank branch with land documents,https://kisan.creditcard.gov.in,Interest rate 9-12% per annum,Crop season duration or as per credit limit,Based on loan amount,Monthly or upon crop sale
Startup India Seed Fund,Government,19-35,All,All,All,All India,Startup Funding and Support,Startups registered with DPIIT,"Seed funding, mentorship, and incubation support",Online registration on portal,https://startupindia.gov.in,N/A,As per project plan,N/A,N/A
LIC New Endowment Plan,Private,36-60,All,All,Middle,Urban and Rural,Insurance and Savings,Individuals aged 36-60,"Life insurance coverage, maturity benefit",Offline via LIC agent or online,https://licindia.in,Interest rate approximately 6-7% per annum,N/A,Varies with policy amount,"Monthly, Quarterly, Annually"
Digital Payment Initiative,Government,All,All,All,All,Urban and Rural,Promoting Digital Transactions,All citizens,"Cashback, discounts, easy transactions",Download app or register online,https://digitalpay.gov.in,N/A,N/A,N/A,N/A
Mudra Yojana,Government,19-60,All,All,Below Poverty Line,All India,Microfinance and Entrepreneurship,"Micro, small, and medium enterprises, individual entrepreneurs",Collateral-free loans up to Rs. 10 lakhs,Application at bank or microfinance institution,https://mudra.org.in,Interest rate 8-15% per annum,N/A,Based on loan amount,Monthly or quarterly
Skill Development Loan,Private,19-35,All,All,Middle,Urban,Skill Development and Education Financing,Individuals seeking vocational training,"Loan for training costs, stipend support",Apply through partner banks or institutions,https://skillsloan.org.in,Interest rate 9-14% per annum,1-3 years,Based on loan amount,Monthly
National Rural Livelihoods Mission,Government,19-60,All,OBC,Below Poverty Line,Rural India,Rural Livelihood Enhancement,Individuals in rural areas seeking livelihood support,"Skill training, financial support, self-help groups",Registration through local govt offices or online,https://nrlm.gov.in,N/A,Ongoing,N/A,N/A
Smart Card for Senior Citizens,Government,60+,All,All,All,All India,Financial Security for Senior Citizens,Senior citizens aged 60 and above,"Access to financial services, discounts, health benefits",Offline application at designated centers,https://seniorcard.gov.in,N/A,Lifetime,N/A,N/A
Pradhan Mantri Fasal Bima Yojana,Government,19-60,All,All,All,All India,Crop Insurance,Farmers with crop cultivation activity,Insurance coverage for crop losses,Insurance claim at local agricultural office,https://fasalbima.gov.in,N/A,Crop season,Premium as per crop and scheme,N/A
Rural Electrification Scheme,Government,All,All,All,All,Rural Areas,Electrification of Rural Areas,All rural households,Electricity connection and infrastructure,Application at local electricity board,https://ruralelect.gov.in,N/A,Ongoing,N/A,N/A
Private Financial Literacy Program,Private,19-35,All,All,Middle,Urban,Financial Literacy and Education,Young adults in urban areas,"Workshops, online resources, counseling",Register online or through partner institutions,https://finlitprivate.org.in,N/A,Ongoing,N/A,N/A
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,All India,Financial Inclusion and Banking Access,All Indian residents aged 6+,"Zero balance accounts, overdraft facility, insurance cover",Visit bank branch or online registration,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child Education & Marriage Savings,Girl child below 10 years,"High interest rates, tax benefits, maturity amount in INR",Online or bank visit,https://sukanyasamriddhi.gov.in/,Interest rate 7-8% p.a.,21 years or upon marriage,N/A,"Monthly, Quarterly, Annually"
Mahatma Gandhi National Rural Employment Guarantee Act,Government,All,All,All,Below Poverty Line,Rural,Rural Employment and Income Security,Rural households with adult members,"Wages for unskilled manual work, job guarantee",Apply through local Gram Panchayat,https://nrega.nic.in/,N/A,Lifetime,N/A,Daily wages
Udyam Registration (MSME),Government,18-60,All,All,All,All India,"Micro, Small & Medium Enterprise Support","Micro, Small & Medium enterprises registered under MSME","Subsidies, loans, priority sector lending",Online registration on Udyam portal,https://udyamregistration.gov.in/,N/A,N/A,N/A,N/A
Banking Correspondent Model,Private,All,All,All,All,Urban & Rural,Financial Access via Agents,"Banks, NBFCs, and authorized agents","Extended banking services, financial literacy",Partner with banks or NBFCs,https://rbi.org.in/,N/A,Ongoing,N/A,N/A
Microfinance Institutions Scheme,Private,18-60,All,OBC,Below Poverty Line,Rural,Microcredit and Financial Empowerment,Individuals and small businesses,"Small loans, financial inclusion",Apply through registered microfinance institutions,https://mfinindia.org/,Interest rate 12-24% p.a.,N/A,"Variable, based on loan terms","Monthly, quarterly"
PM SVANidhi Scheme,Government,18+,All,All,All,Urban India,Microcredit for Street Vendors,Street vendors with a valid identity proof,"Collateral-free loans, credit facilities",Online or bank visit,https://puninagar.telangana.gov.in/,Interest-free or minimal interest,1 year (renewable),"Up to INR 10,000",One-time
National Pension System,Government,18-60,All,All,All,All India,Retirement Planning,All residents aged 18-60,"Pension benefits, tax savings",Online or via authorized pension distributors,https://nps.gov.in/,Interest rate 8-10% p.a.,Lifetime,Variable,"Monthly, Quarterly, Annually"
Bhagya Lakshmi Scheme,Private,18-45,Female,All,Middle,Telangana,Women Entrepreneurship & Financial Literacy,Women entrepreneurs or women seeking financial literacy,"Seed grants, financial education, mentorship",Online application with documentation,https://telangana.gov.in/,N/A,N/A,N/A,N/A
Start-Up India Scheme,Government,18-35,All,All,All,All India,Encourage Innovation and Startups,Startups registered under DPIIT,"Tax holidays, funding support, mentoring",Online registration on Startup India portal,https://startupindia.gov.in/,N/A,N/A,N/A,N/A
Rural Self-Employment Training Institute (RSETI),Government,18-60,All,All,Below Poverty Line,Rural India,Skill Development & Self-Employment,Potential entrepreneurs from rural areas,"Training, seed capital, credit facilitation",Apply through local RSETI centers,https://rseti.gov.in/,N/A,N/A,N/A,N/A
Cyber Gram Yojana,Private,All,All,All,All,Rural India,Cybersecurity Awareness & Digital Skills,Rural residents with basic digital access,"Digital literacy, cybersecurity awareness",Online registration and training sessions,https://cybergram.gov.in/,N/A,N/A,N/A,N/A
National Digital Literacy Mission,Government,All,All,All,All,All India,Digital Literacy and Inclusion,All citizens above 14 years,"Digital skills, internet access, digital payments",Online registration or on-site training,https://nielit.gov.in/,N/A,N/A,N/A,N/A
Rural Housing Finance Scheme,Private,All,All,OBC,Below Poverty Line,Rural India,Affordable Housing for Rural Poor,Rural residents with low income,"Housing loans, subsidies",Apply through partner banks or NBFCs,https://ruralhousing.gov.in/,Interest rate 9-11% p.a.,N/A,Variable,"Monthly, Quarterly"
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Bank Account Access,Open to all citizens above 10 years of age,"Free zero-balance accounts, accident insurance",Visit a bank branch or use online portal,https://pmjdy.gov.in/,N/A,Lifetime,N/A,N/A
Mudra Loan Scheme,Government,19-60,All,OBC,Below Poverty Line,India,Microcredit,"Small/micro businesses, entrepreneurs","Loans up to 10 lakh INR, minimal documentation",Apply through bank or financial institution,https://mudra.org.in/,Interest rate 8-12%,5 years,Variable,Monthly
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,India,Savings for girl child,Parent/Guardian account holder for girl below 10 years,"Interest rates 7-8%, tax benefits",Visit bank or post office,https://sukanyasamriddhi.nic.in/,N/A,21 years or until girl turns 21,N/A,Monthly
Private Credit Cooperative,Private,36-60,All,General,Middle,Urban,Microcredit,Members of cooperative society,"Low-interest loans, community support",Apply through cooperative society office,N/A,Interest rate 10-14%,3 years,Variable,Quarterly
Aadhaar Enabled Payment System,Government,19-35,All,All,All,Urban/Rural,Digital Payments,Aadhaar linked bank account,"Ease of digital transactions, reduced fees",Use authorized digital platform or bank app,https://uidai.gov.in/,N/A,N/A,N/A,N/A
Insurance Scheme for Small Traders,Private,19-60,All,General,Middle,Urban,Insurance,Small traders and shopkeepers,"Financial protection, claim support",Apply through insurance agent or online,https://smalltradersinsure.in/,N/A,1 year,Varies with policy,Annually
Rural Self-Help Group Bank Linkage,Government,19-60,All,OBC,Below Poverty Line,Rural,Microfinance,Rural SHGs with bank linkage,"Access to credit, capacity building",Apply via bank or NABARD,https://nabard.org/,Interest 9-13%,5 years,Variable,Monthly
Women Entrepreneurship Scheme,Government,19-60,Female,OBC,Middle,Urban/Rural,Skill Development & Microcredit,Women entrepreneurs with a viable business plan,"Subsidized loans, training support",Apply online or via bank branch,https://womentech.in/,Interest 8-10%,3 years,Variable,Monthly
Mutual Benefit Societies,Private,36-60,All,All,Upper,Urban,Microfinance,Members of registered societies,"Access to loans, community savings",Apply through society office,N/A,Interest 10-15%,2-4 years,Variable,Quarterly
National Pension System,Government,36-60,All,All,All,India,Pension,Individuals aged 18-60,"Retirement savings, tax benefits",Register online or through partner banks,https://nps.gov.in/,"Interest rate varies, approximate 8%",Lifetime,Minimum 500 INR/month,Monthly
Micro Insurance for Farmers,Private,19-60,All,ST,Below Poverty Line,Rural,Insurance,Farmers with land holdings,"Crop and health insurance, quick claim process",Apply via local agent or bank,https://microinsurance.gov.in/,N/A,1-3 years,Variable,N/A
Digital Literacy Campaign,Government,19-35,All,All,All,All,Financial Literacy,Open to all citizens,"Increased financial awareness, digital skills",Attend training sessions or workshops,https://digitalliteracy.in/,N/A,Ongoing,N/A,N/A
Start-up India Scheme,Government,19-35,All,All,All,All,Entrepreneurship & Innovation,Startups registered in India,"Funding, mentorship, incubation",Apply online via portal,https://startupindia.gov.in/,N/A,N/A,N/A,N/A
Private Microfinance Institution Loan,Private,19-60,All,All,Below Poverty Line,Urban/Rural,Microfinance,"Small businesses, entrepreneurs","Low-interest loans, flexible terms",Apply through registered microfinance institutions,N/A,Interest rate 9-13%,2-4 years,Variable,Monthly
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Banking and Financial Inclusion,Open to all citizens with valid ID,"No minimum balance, zero service charges",Visit nearest bank branch or mobile app,https://pmjdy.gov.in/,N/A,N/A,N/A,N/A
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,India,Child Education and Marriage Fund,"Girls below age 10, guardians' consent needed","Interest rate 7.6% compounded annually, tax benefits","Visit bank or post office, online registration available",https://sukanyasamriddhi.nic.in/,Approx. 1.5 lakh INR in 15 years for 1 lakh INR deposit,15 years,N/A,Monthly or Annual deposit
PM-KISAN,Government,19-35,All,All,Below Poverty Line,India,Direct Income Support to Farmers,Small and marginal farmers with landholding up to 2 hectares,"Rs.6000 annually, paid in three installments",Online portal or local government offices,https://pmkisan.gov.in/,Rs.6000 per year,N/A,N/A,Quarterly
LIC New Endowment Plan,Private,36-60,Male,General,Middle,Urban,Life Insurance and Savings,Anyone aged 36-60 with health check-up,"Lumpsum maturity amount, life cover","Visit LIC branch, online application available",https://licindia.in/,Maturity amount varies (approx. 3 lakh INR for 1 lakh INR premium over 20 years),20 years,N/A,Monthly or Annual
HDFC Microloan Scheme,Private,19-60,All,OBC,Below Poverty Line,Urban and Rural,Microcredit for Small Businesses,Small entrepreneurs with business registration or ID proof,"Low-interest loans up to Rs. 50,000, flexible repayment",Online application or local branches,https://hdfc.com/microloan,Loan amount + interest (approx. 12%),1-3 years,N/A,Monthly
Mahila Co-operative Bank Savings Account,Private,19-60,Female,General,Middle,Urban,Savings for Women,Women above 18 with ID proof,"Higher interest rates, financial literacy sessions","Visit branch, online registration",https://mahila.coop/,Interest varies (around 4%),N/A,N/A,N/A
Rural Electrification Loan Scheme,Government,All,All,All,All,Rural,Finance Rural Electrification Projects,"Rural communities, cooperative societies","Low-interest loans, extended repayment period",Apply through local cooperative banks or government offices,https://rural.gov.in/,Interest rate around 8%,5-10 years,N/A,Annual or Biannual
StartUp India Seed Fund,Government,19-35,All,All,Middle,India,Funding for Startups,Innovative startups registered in India,"Seed funding up to Rs. 50 lakh, mentorship support",Online application via Startup India portal,https://startuindia.gov.in/,N/A,N/A,N/A,N/A
ICICI Bank Education Loan,Private,19-30,All,All,Middle,Urban,Education Financing,Students enrolled in recognized colleges or universities,"Loans up to Rs. 20 lakh, flexible repayment options",Visit ICICI Bank branch or online portal,https://icicibank.com/educationloan,Interest rate approx. 10-14%,5-15 years,N/A,Monthly or quarterly
Bank of India Digital Savings Account,Government,All,All,All,All,India,Digital Banking Access,Open to all citizens with valid ID,"No minimum balance, digital transactions free",Online registration or visit branch,https://bankofindia.co.in/,N/A,N/A,N/A,N/A
Apna Udyami Micro Venture Fund,Private,19-60,All,OBC,Below Poverty Line,"Urban, Rural",Micro Venture Capital Funding,"Small business owners, startups","Equity investment, mentorship, market linkage",Online application or through partner organizations,https://apnaudyami.gov.in/,Equity or repayment as per agreement,N/A,N/A,N/A
Sathri Nidhi Pension Scheme,Private,60+,All,All,All,India,Retirement Pension,Citizens above 60 years,"Monthly pension, health benefits",Register at local government office or online,https://sathrinidhi.gov.in/,"Monthly pension amount (e.g., Rs.2000)",Lifetime or until eligibility,N/A,Monthly
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,India,Affordable Housing,"EWS and LIG families, urban and rural","Subsidized loans, house construction assistance",Application through local government offices or online,https://pmay.gov.in/,N/A,N/A,N/A,N/A
