scheme_name,scheme_type,age_group,gender,social_category,annual_income_group,location,scheme_goal,eligibility,benefits,application_process,scheme_website,total_returns,time_duration
Sukanya Samriddhi Yojana,Government,0-5,Female,All,All,All India,Child education and marriage fund,Parent or guardian account holder for girl child,"Interest income, tax benefits",Apply through bank or post office,https://www.sukanyasampada.com/,Interest rate 7.6% p.a.,21 years or upon marriage
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,Urban and Rural,Affordable housing for urban poor,"Income criteria applicable, proof of residence required","Subsidized home loans, financial assistance",Apply via online portal or local housing office,https://pmay.gov.in/,N/A,As per loan terms
Stand Up India Scheme,Government,36-60,All,SC,Below Poverty Line,All India,"Support for SC entrepreneurs in manufacturing, services, and trading","Entrepreneurship experience, bank approval","Loan assistance, mentorship",Application through designated banks,https://standupindia.gov.in/,"Interest rate varies, approx 9%",5-7 years
Vijay Microfinance Scheme,Private,19-60,All,OBC,Middle,Rural Areas of Rajasthan,Microcredit for small businesses,"Small business owner, residence proof","Microloans, financial training",Apply through partner NGO or bank,N/A,Interest rate 15% p.a.,2-3 years
Digital Wallet Plus,Private,19-35,All,General,Middle,Urban,Digital financial transactions and literacy,"Smartphone user, ID proof","Cashback offers, ease of transactions","Download app, register with ID",https://digitalwalletplus.com/,N/A,N/A
Rural Mobile Banking Initiative,Government,6-60,All,All,Below Poverty Line,Rural India,Banking access via mobile technology,"Rural residents, mobile phone","Banking services at doorstep, financial literacy",Register via mobile banking app or local banking agents,https://ruralbanking.gov.in/,N/A,Lifetime
Youth Savings Scheme,Private,19-35,All,All,Upper,All India,Encourage savings among youth,Student or young professional,"Interest income, financial education",Open account at partnered bank branches,https://youthsavings.com/,Interest rate 4-6%,N/A
Elderly Pension Plan,Government,60+,All,All,All,All India,Retirement income support,"Senior citizens, proof of age","Monthly pension, medical benefits",Apply at social welfare office or online,https://elderlypension.gov.in/,Monthly pension amount varies,Lifetime
Women Entrepreneur Fund,Private,19-60,Female,All,Middle,Urban and Rural,Support women entrepreneurs in MSME sector,"Business registered under MSME, women owner","Loans, training, mentorship",Application through bank or MSME portal,https://womenentrepreneurfund.com/,Interest rate 9-11%,3-5 years
Minority Welfare Credit Line,Government,19-60,All,Minority,Middle,All India,Financial support for minority communities,"Community verification, business or income proof","Credit line, financial counseling",Apply through designated banks or online portal,https://minoritywelfare.gov.in/,Interest rate approx 10%,5 years
Smart Start Child Savings Account,Private,0-18,All,All,All,Urban and Rural,Child education and early savings,"Parent or guardian, birth certificate","Tax benefits, higher interest rates for minors",Open account at bank branch or online,https://smartstartchildsavings.com/,Interest rate 4-5%,N/A
Gramin Bank Loan Scheme,Government,19-60,All,All,Below Poverty Line,Rural India,Microfinance and small loans,Small business or agricultural activity,"Loans, financial training",Apply at local bank or cooperative society,https://graminbankloan.gov.in/,Interest rate 12-15%,1-3 years
Smart Savings and Investment Program,Private,36-60,All,All,Upper,All India,Encourage systematic savings and investments,"Salaried individuals, proof of income","Investment options, tax benefits",Open account via bank or online platform,https://smartsavingsinvt.com/,"Variable, depends on investment",N/A
Post Office Monthly Income Scheme,Government,All,All,All,All,All India,Regular income for small investors,"Resident of India, PAN card","Monthly interest payments, safe investment",Apply at post office or online,https://indiapost.gov.in/,Interest rate 6.6% p.a.,N/A
Pradhan Mantri Jan Dhan Yojana,Government,0-5,All,All,Below Poverty Line,All India,Financial Inclusion and Banking Access,Open to all citizens with valid ID,"Basic savings account, overdraft facilities",Visit bank branch or mobile app with ID proof,https://pmjdy.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-5,Female,General,Middle,All India,Child Education Savings and Financial Security,Parents or guardians can open the account for girl child,"Interest rate 7.6%, tax benefits, maturity amount in INR",Apply at authorized banks or post offices,https://rsby.gov.in,Interest rate 7.6% per annum,21 years or until marriage of girl child
Micro Units Development & Refinance Agency (MUDRA) Loan,Government,19-35,All,OBC,Below Poverty Line,Rural and Urban India,Microcredit for small businesses,"Small business owners, entrepreneurs, and startups","Loan amount up to INR 10 lakh, low interest rates",Online application or visit bank branch,https://mudra.org.in,Interest rate starting at 8.5%,Up to 5 years
Venture Capital Fund for Technology Startups,Private,19-60,All,General,Upper,Urban India,Funding for technology startups,Startups with innovative technology ideas,"Equity funding, mentorship, incubation support",Online pitch and detailed proposal submission,https://vcfundtech.in,N/A (equity investment),N/A
Apna Udyam Scheme,Government,18-35,All,All,Middle,Rural India,Entrepreneurship development and microenterprise support,Microentrepreneurs and small business owners,"Financial grants, training, market linkages",Online registration and local workshop attendance,https://apnaudyam.gov.in,N/A,Ongoing support
Women’s Savings and Investment Scheme,Private,19-60,Female,All,Upper,Urban India,Promote women’s savings and investments,Women aged 19-60 with savings account,"Higher interest rates, investment advice",Bank visit or online account opening,https://womeninvest.in,Interest rates up to 6.5%,N/A
Elderly Pension Scheme,Government,60+,All,All,Below Poverty Line,All India,Old age pension and financial security,Elderly citizens with low income,"Monthly pension, healthcare support",Application through local government offices,https://elderlypension.gov.in,Monthly pension amount INR 2000-3000,Lifetime
Startup India Seed Fund Scheme,Government,19-35,All,All,Middle,All India,Seed funding for startups,Startups registered with DPIIT,"Seed capital up to INR 50 lakh, mentoring",Online application on portal,https://startupindia.gov.in,N/A,Funding until project maturity
National Rural Livelihood Mission,Government,All,All,OBC,Below Poverty Line,Rural India,Rural livelihood development and financial inclusion,"Self-help groups, rural entrepreneurs","Skill development, microcredit, marketing support",Group registration through local authorities,https://nrlm.gov.in,N/A,Ongoing
Digital Wallet and Payment Scheme for Small Vendors,Private,19-50,All,All,Middle,Urban India,Cashless transactions promotion,"Small vendors, shopkeepers","Transaction discounts, digital literacy training",Register online or at designated outlets,https://digitalwallet.in,N/A,Lifetime
National Education Savings Scheme,Government,0-18,All,All,All,All India,Education savings and financial literacy,Parents and guardians,"Interest benefits, tax exemptions",Apply online or at banks and post offices,https://education.gov.in,Interest rate 7% per annum,18 years or until schooling completion
Agricultural Credit Guarantee Scheme,Government,All,All,All,All,Agricultural regions,Crop and agricultural loans guarantee,Farmers and agricultural entrepreneurs,"Loan guarantee, lower interest rates",Application through bank or cooperative societies,https://agriculture.gov.in,N/A,N/A
Private Health Insurance Plan for Low-Income Families,Private,0-60,All,All,Below Poverty Line,Urban and Rural India,Affordable healthcare coverage,Low-income families,"Health coverage, cashless treatment, health check-ups",Online registration or at partner clinics,https://healthcoverage.in,N/A,1 year renewable
Pradhan Mantri Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,India-wide,Bank Accounts and Financial Inclusion,Open to all citizens above 10 years,"Free zero-balance accounts, overdraft facility, Rupay debit card",Apply through bank branches or online portal,https://pmjdy.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,India-wide,Savings for Girl Child Education & Marriage,Parents or guardians can open accounts for girl children below 10 years,"High interest rate, tax benefits, maturity benefits","Visit bank branches or post office, online registration available",https://india.gov.in/sukanya-samriddhi-yojana,Interest rate ~7.6% p.a.,21 years or until marriage of girl
Stand Up India Scheme,Government,19-60,All,SC,Below Poverty Line,Rural & Urban India,Microcredit for SC/ST entrepreneurs,"Entrepreneurs from SC/ST communities, aged 18-65, with viable business ideas","Collateral-free loans up to Rs. 10 lakhs, mentorship support","Online application through bank portal, eligibility check at bank branch",https://standupmitra.in,Interest rate 8-12% depending on bank policies,7 years
Atal Pension Yojana,Government,19-40,All,All,All,India-wide,Pension for unorganized sector workers,Open to all citizens aged 18-40 with a savings account,"Monthly pension post retirement, government co-contribution for eligible subscribers","Register via bank or post office, online registration also available",https://anganwadi.gov.in/atal-pension-yojana,Monthly pension varies from Rs. 1000 to Rs. 5000 based on contributions,Lifetime or until death
Micro Units Development & Refinance Agency (MUDRA) Loan,Private,19-60,All,All,Below Poverty Line,Urban & Rural India,Microcredit for small businesses and startups,Small business owners or entrepreneurs with viable business plans,"Refinance support, low-interest loans, quick processing",Apply through bank branches or online platform,https://mudra.org.in,Interest rate around 12-14% depending on loan type,3-7 years
Bharatiya Mahila Bank Business Loan,Private,19-50,Female,All,Middle,Urban India,Business loans for women entrepreneurs,"Women with viable business plans, existing or startup","Collateral-free loans up to Rs. 50 lakhs, mentoring support",Application at branch or online,https://bharatiyamahila.bank,Interest rate approximately 10-15%,5-10 years
National Rural Livelihood Mission (NRLM),Government,18-60,All,OBC,Below Poverty Line,Rural India,Rural livelihood promotion and poverty alleviation,"Women from rural households, self-help groups","Skill development, seed funding, market linkages",Application through local SHGs or government portal,https://aajeevika.gov.in,N/A,Ongoing
Kisan Credit Card Scheme,Government,19-60,All,All,All,Rural & Urban India,Crop financing and agricultural credit,"Farmers with landholdings, valid ID and land documents","Credit card with pre-approved limits, easy access to credit",Apply through bank branches or online,https://pmegrasp.mfpenquiry.in/kcc,Interest rates around 9-12%,1 year renewable annually
LIC New Jeevan Anand Policy,Private,19-60,Male,All,Middle,India-wide,Life insurance and savings,"Individuals aged 19-55, healthy with proof of income","Life cover, maturity amount, bonuses",Apply through LIC agents or online,https://licindia.in,"Interest + bonuses, maturity amount depends on premiums paid",Lifetime
Mahila Bank Loan for Self-employment,Private,19-50,Female,All,Middle,Urban India,Self-employment support for women,"Women aged 19-50, with viable business plan","Collateral-free loans, training, and mentorship",Online or branch application,https://mahila.bank,Interest rate approximately 10-14%,3-7 years
Skill India Mission,Government,18-40,All,All,All,India-wide,Skill development and vocational training,"Candidates aged 18-40, seeking skill training","Training certification, job placement support",Apply online or through partnered training institutes,https://skillindia.gov.in,N/A,"Variable, depending on course"
Startup India Action Plan,Government,19-45,All,All,All,India-wide,Entrepreneurship and startup support,"Innovators, entrepreneurs, with a viable business plan","Funding, mentorship, ease of registration",Online application via portal,https://startupindia.gov.in,N/A,N/A
Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Banking access and financial inclusion,Open to all citizens with valid ID,"Zero balance accounts, debit cards, insurance cover",Visit nearby bank branch or online registration,https://pmjdy.gov.in,N/A,Lifetime
Senior Citizens Savings Scheme,Government,60+,All,All,Middle,India,Retirement savings and pension,Indian citizen aged 60 or above,"Fixed interest, tax benefits, secure pension",Apply at designated bank branches or post offices,https://rsso.gov.in,Interest rate: 7.4% p.a.,5 years
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,Urban and Rural India,Affordable housing for the poor,"Low income, landless or small landholders",Subsidies on home purchase or construction,Apply through online portal or local municipal offices,https://pmay.gov.in,N/A,N/A
Microcredit Scheme for Women,Private,19-35,Female,OBC,Below Poverty Line,Rural India,Microfinance for women entrepreneurs,"Women with entrepreneurial ventures, land ownership optional","Access to microloans, skill training, mentorship",Application at local microfinance institutions or NGOs,https://microfinanceindia.org,Interest rate around 12%,1-3 years
Rural Digital Banking Initiative,Government,6-60,All,All,All,Rural India,Promote digital transactions and banking,All rural residents with proof of residence,"Access to digital payment facilities, financial literacy sessions",Online registration or visit local bank branch,https://digitalbanking.gov.in,N/A,Lifetime
StartUp India Savings Plan,Private,19-35,All,All,Middle,Urban India,Support startup founders with savings benefits,Registered startup founders,"Tax exemptions, savings incentives",Register on StartUp India portal and apply online,https://startupindia.gov.in,Interest rate: 8% p.a.,5 years
OBC Education Loan Scheme,Government,19-25,All,OBC,All,India,Educational finance for OBC students,OBC students admitted to recognized higher education institutes,"Low interest rate, grace period, flexible repayment",Apply through bank or educational institution,https://eduloans.gov.in,Interest rate around 9%,10-15 years
Women’s Financial Literacy Program,Government,All,Female,All,All,India,Improve financial literacy among women,Women of all backgrounds,"Workshops, financial advice, resources",Register online or through NGOs,https://womenfinlit.gov.in,N/A,Ongoing
Private Pension Plan for Self-Employed,Private,36-60,All,All,Upper,Urban India,Retirement savings for self-employed professionals,Self-employed individuals with steady income,"Monthly pension, tax benefits, investment growth",Register with private pension providers online or at branches,https://selfemploypension.com,Interest rate: 6-8%,Lifetime
Agriculture Credit Guarantee Scheme,Government,19-60,All,All,Middle,Rural India,Guarantee farm loans and credit access,"Farmers, smallholders with valid land documentation","Loan collateral support, lower interest rates",Apply through bank or cooperative societies,https://agri-credit.gov.in,Interest rate: 7%,Loan tenure up to 10 years
Tech Innovators Loan Scheme,Private,19-45,All,All,Middle,Urban India,Funding for technology startups,Registered tech startups with innovative solutions,"Low-interest loans, mentorship, networking events",Apply online via official portal,https://techloan.in,Interest rate: 8%,3-5 years
Youth Financial Literacy Campaign,Government,15-30,All,All,All,India,Enhance financial literacy among youth,Students and young professionals,"Workshops, online modules, awareness programs","Registration through schools, colleges, or online",https://youthfinlit.gov.in,N/A,Ongoing
Rural Microinsurance Scheme,Government,All,All,All,Below Poverty Line,Rural India,Insurance coverage for rural poor,Rural residents below poverty line,"Affordable insurance premiums, coverage for health, crops, life",Apply through local insurance agents or government offices,https://microinsure.gov.in,N/A,1 year renewal
Pradhan Mantri Jan Dhan Yojana,Government,19-35,All,All,Below Poverty Line,All India,Savings and Banking Access,Open to all citizens above 18,"Basic banking accounts, debit cards, overdraft facilities",Open an account at any banking branch or via designated banking correspondents,https://pmjdy.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-18,Female,All,All,All India,Savings for girl child education and marriage,Parents or guardians of girl children below 10 years,"Tax benefits, compound interest, withdrawal for education/marriage",Apply through designated bank branches or online portal,https://sukanyasamriddhi.accountantmail.com,Approx. 7-8% interest compounded annually,21 years or until marriage of girl
Atal Pension Yojana,Government,19-60,All,All,Middle,All India,Pension and Retirement Security,All Indian citizens aged 18-40 with a valid bank account,"Monthly pension after retirement, flexible contribution","Register through bank or online portal, choose pension scheme and contribution",https://pensionparamarsh.gov.in,"Depends on contribution, estimated 8-9% interest rate",Lifetime
Mudra Loan Scheme,Government,19-60,All,OBC,Below Poverty Line,Rural and Urban India,Microcredit for small businesses,Small business owners or entrepreneurs with business plan,Collateral-free loans up to INR 10 lakhs,Apply through banks or microfinance institutions with business plan,https://mudra.org.in,Interest rates range 8-12%,Repayment period varies from 3 to 5 years
Digital India Initiative,Government,All,All,All,All,All India,Promoting digital literacy and access,Open to all citizens,"Digital literacy training, free Wi-Fi hotspots, device discounts",Register online or at government centers,https://digitalindia.gov.in,N/A,Ongoing
HDFC Life Priya Arogya Plan,Private,36-60,Female,General,Middle,Urban India,Health insurance for women,Women aged 36-60 years,"Health coverage, cashless treatment, maternity benefits",Apply online or at HDFC branches,https://hdfclife.com,N/A,Lifetime
Bajaj Finserv Gold Loan,Private,19-60,All,All,Upper,Urban and Rural India,Quick liquidity via gold collateral,Gold ornament owners,"Loan amount up to 75% of gold value, quick processing",Visit Bajaj Finserv branches with gold assets,https://bajajfinserv.in,Interest rates 10-15% annually,"Loan tenure varies, usually up to 1 year"
LIC New Endowment Plan,Private,0-60,All,All,All,All India,Long-term savings and life insurance,"All citizens above age 0, health requirements vary","Maturity benefits, life cover, bonuses",Apply through LIC agents or online,https://licindia.in,Approx. 6-8% annualized return,N/A (varies by policy)
IndusInd Bank Insta Credit Card,Private,19-60,All,All,Middle,Urban India,Easy credit and cashless transactions,"Minimum income criteria, valid ID proof","Credit limit, reward points, discounts","Apply online or at branch, instant approval for pre-approved customers",https://indusind.com,N/A,N/A
E-wallet Cashless Payments,Private,All,All,All,All,All India,Promoting digital payments,Anyone with a mobile device,"Convenience, discounts, cashbacks","Download app, register, add funds",https://paytm.com,N/A,Ongoing
Kisan Credit Card Scheme,Government,19-60,All,All,All,Rural India,Credit access for farmers,Registered farmers with land records,"Crop loans, flexible repayment, interest subsidies",Apply at local bank branches with land documentation,https://nabard.org,Interest rates around 7-9%,Seasonal or annual depending on crop cycle
Swayam Online Courses,Government,All,All,All,All,All India,Skill development and education,Open to all students and learners,"Free online courses, certification, skill enhancement",Register on the Swayam platform online,https://swayam.gov.in,N/A,Varies by course
Pradhan Mantri Awas Yojana,Government,All,All,All,Below Poverty Line,All India,Affordable housing and financial support for urban poor,Urban residents below poverty line,"Subsidized housing loans, financial assistance for housing construction","Online registration through official portal, documentation submission",https://pmay.gov.in,N/A,Lifetime
Atal Pension Yojana,Government,18-40,All,All,Middle,All India,Pension and retirement benefits,"Mandatory registration, bank account required",Guaranteed minimum pension after retirement,"Register online or at bank branches, KYC verification",https://jansuraksha.gov.in,N/A,Lifetime
LIC Micro Insurance,Private,18-60,All,All,Below Poverty Line,Rural and Urban areas,"Micro insurance for health, life, and accident",Individuals with income below BPL or informal sector workers,"Affordable insurance premiums, quick claim settlement","Visit LIC branch or online portal, complete forms, document submission",https://licindia.in,N/A,N/A
Mudra Loan Scheme,Government,18+,All,All,Middle,All India,Microcredit for small businesses and entrepreneurs,"New or existing micro-enterprises, business plan required","Collateral-free loans up to 10 lakh INR, low interest rates","Application at bank branch or Mudra portal, business documentation",https://mudra.org.in,Interest rate 8-12%,Up to 5 years
HDFC RetirePlus,Private,60+,All,All,Upper,Urban areas,Retirement savings and income support,"Individuals aged 60 and above, existing HDFC account holder","Monthly pension, savings enhancement options","Apply online or at HDFC branch, KYC process",https://hdfc.com,Interest rate 6-8%,Lifetime
Pradhan Mantri Suraksha Bima Yojana,Government,18-70,All,All,All,All India,Accident insurance coverage,All individuals with a bank account,"Accidental death and disability coverage, premium Rs.12 per year","Automatic enrollment via bank account, or manual registration",https://sukanya-yojana.gov.in,N/A,1 year (renewable annually)
Indira Gandhi National Old Age Pension Scheme,Government,60+,All,OBC,Below Poverty Line,Rural India,Old age pension support,"Elderly below poverty line, rural residents",Monthly pension of INR 200 to INR 500 based on category,"Application through local government offices, documentation required",https://socialjustice.gov.in,N/A,Lifetime
Paytm Payments Bank Savings Account,Private,18-65,All,All,Middle,Urban and Rural India,Digital banking and savings,KYC compliant individuals,"Zero balance account, easy digital transactions, cashback offers","Download Paytm app, KYC verification, account activation",https://paytm.com,Interest rate 4-6%,N/A
National Rural Livelihoods Mission,Government,18-60,All,OBC,Below Poverty Line,Rural India,Self-employment and livelihood promotion,Members of rural poor households,"Skill development, access to microcredit, livelihood support",Registration through local NGOs or government offices,https://nrlm.gov.in,N/A,Ongoing
ICICI Bank Flexi Personal Loan,Private,21-60,All,All,Middle,Urban areas,"Personal finance needs, emergency funds",KYC compliant individuals with stable income,"Flexible repayment options, quick approval","Online application, document verification",https://icicibank.com,Interest rate 10-15%,Up to 5 years
Sukanya Samriddhi Yojana,Government,All,Female,All,All,All India,Girl child education and marriage savings,Parents or guardians of girl children,"High interest rates, tax benefits, long-term savings for girl child","Open an account at bank or post office, KYC process",https://sukanyayojana.gov.in,Interest rate 7-8% compounded annually,21 years from account opening
Bharat Microfinance Program,Private,18-50,All,SC,Below Poverty Line,Urban and Rural India,Microfinance for small businesses and startups,"Micro and small business owners, low income","Affordable microfinance, training support",Application through partner microfinance institutions,https://bharatmicrofinance.org,N/A,N/A
Jan Dhan Yojana,Government,All,All,All,All,All India,"Financial inclusion, bank account access for all","No minimum balance, any Indian resident can open an account","Zero balance account, direct benefit transfer, insurance coverage",Visit bank branch or apply online,https://pmjdy.gov.in,N/A,Lifetime
Kotak Mahindra Mutual Fund SIP,Private,18-65,All,All,Middle,Urban and Rural India,Wealth creation through systematic investment,KYC compliant individuals with regular income,"Rupee cost averaging, disciplined investing","Online registration with mutual fund, complete KYC",https://kotak.com,"Variable, historical average 12-15% annualized",N/A
SBI Life Smart Shield,Private,30-60,All,All,Upper,All India,Life insurance coverage,"Individuals aged 30-60, medical checkup required","Life cover, savings component, health benefits","Online or branch application, KYC process",https://sbi.co.in,N/A,Lifetime
Pradhan Mantri Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,India,Bank Account Accessibility,Open to all residents of India with valid ID,"Zero balance savings account, Debit card, Insurance coverage",Visit local bank branch or online portal and fill application form,https://pmjdy.gov.in,N/A,Lifetime
Sukanya Samriddhi Yojana,Government,0-5,Female,General,All,India,Child Savings and Education Fund,Girl child below age 10; parents' income criteria apply,"Fixed interest rate, Tax benefits, Maturity amount in INR",Open account at designated bank branches or online,https://rspr.gov.in,Interest rate 7.6% p.a.,21 years or maturity on marriage of girl child
Vikash Microfinance,Private,19-35,All,OBC,Middle,Rural areas of Bihar and Uttar Pradesh,Microcredit for small businesses,Small entrepreneurs with viable business plans,"Access to affordable microloans, Skill development support",Apply through partner microfinance institutions with business plan,https://vikashmicrofinance.in,Interest rate 14% p.a.,1-3 years
Skill India Loan Scheme,Government,19-35,All,All,Middle,India,Education and skill development loans,Individuals enrolled in certified skill development courses,"Low-interest loans, Repayment support, Skill certification assistance",Apply online or at designated financial institutions,https://skillindia.gov.in,Interest rate 9% p.a.,2-5 years
MicroSavings Plus,Private,36-60,All,General,Upper,Urban centers of Maharashtra and Gujarat,Retirement savings enhancement,Employees and self-employed individuals with regular income,"Tax deductions, Higher interest rates, Flexible deposits",Register via partner banks or financial advisors,https://microsavingsplus.in,Interest rate 6.5% p.a.,Lifetime
Senior Citizens Investment Scheme,Government,60+,All,All,All,India,Pension and savings for senior citizens,Indian residents aged 60 and above,"Monthly pension options, Tax benefits, Low-risk investments",Apply at government financial institutions or online portal,https://sci.gov.in,Interest rate 8% p.a.,N/A
Arogya Suraksha Bima,Private,19-60,All,Minority,Below Poverty Line,Selected states including Rajasthan and Odisha,Health insurance coverage,"Low-income residents, enrollment through local health centers","Health coverage for hospitalisation, Preventive health check-ups",Register at health centers or online portal,https://arogyasuraksha.in,N/A,1 year renewable
Mahila Vikas Yojana,Government,19-35,Female,OBC,Middle,Rural and urban Maharashtra,Women empowerment and employment,"Women aged 19-35, residents of Maharashtra","Skill development, Small business loans, Employment opportunities",Application at district employment offices or online,https://mahila-vikas-yojana.in,N/A,2-5 years
Self-Help Groups Support Scheme,Government,All,All,All,Below Poverty Line,Rural India,Supporting Self-Help Groups for financial empowerment,Registered SHGs with at least 5 members,"Financial grants, Capacity building, Training programs",Application through district administration or online,https://shgsupport.in,N/A,Ongoing
Udyam Registration Incentive,Private,All,All,All,All,India,Simplify Business Registration and Support Startups,"New micro, small, and medium enterprises (MSMEs)","Streamlined registration, Incentives for startups",Register via official Udyam Portal,https://udyamregistration.gov.in,N/A,N/A
Banking Correspondent Program,Government,19-60,All,All,All,Urban and Rural India,Financial Inclusion through Banking Outreach,Banking staff and certified agents,"Extended banking services, Financial literacy sessions",Application through bank branches or online,https://bankingcorrespondent.in,N/A,Ongoing
Rural Digital Payment Initiative,Government,All,All,All,All,Rural India,Promote digital payments and financial transactions,All rural residents with bank accounts,"Easy digital transactions, Reduced cash handling",Registration via local bank branches or online,https://ruralpayment.in,N/A,N/A
Digital Savings Wallet,Private,19-35,All,All,Middle,Urban India,Digital savings and transactions,Urban residents with bank accounts or mobile wallets,"Secure digital wallet, Cashback offers, Easy transfers",Download app and register with mobile number,https://digitalsavings.in,N/A,N/A
Bhima Yojana,Government,36-60,All,OBC,Middle,Tamil Nadu,Health insurance for middle-income families,Families with annual income below 6 lakhs INR,"Health coverage, Cashless hospitalization",Apply online or at government health schemes offices,https://bhimayojana.tn.gov.in,N/A,1 year renewable
Jan Dhan Yojana,Government,6-18,All,All,Below Poverty Line,Nationwide,Banking Inclusion and Financial Literacy,Open to all Indian citizens,"Zero balance accounts, debit cards, insurance cover",Visit a bank branch or online portal and fill the form,https://pmjdy.gov.in/,N/A,Lifetime
Pradhan Mantri Micro Credit Scheme,Government,19-60,All,All,Below Poverty Line,Rural and Urban India,Microcredit for Self-Employment,Individuals with no collateral and small business owners,"Low-interest microloans, skill development support",Apply through local banks or cooperative societies,https://microcredit.gov.in/,Interest rate 8-12%,Up to 5 years
Private Wealth Management Program,Private,36-60,All,General,Upper,Major Cities,Wealth Accumulation and Investment,High-net-worth individuals with proof of income,"Personalized financial advice, investment products",Consult with authorized financial advisors,https://privatewealth.in/,Variable based on investments,"Flexible, mostly ongoing"
Rural Savings Scheme,Government,6-18,All,OBC,Middle,Rural Areas,Encourage savings among rural youth,"Residents of rural regions, aged 6-18","Savings account with interest, financial literacy workshops",Register at local rural banking centers,https://ruralsavings.gov.in/,Interest at 4-6% per annum,N/A
Women’s Pension Plan,Government,60+,Female,All,Below Poverty Line,All India,Pension for Elderly Women,Women above 60 years with no other pension support,"Monthly pension, health benefits",Apply online or through local government offices,https://womenspension.gov.in/,N/A,Lifetime
SME Development Fund,Private,19-60,All,General,Middle,Major Industrial Regions,Support Small and Medium Enterprises,SMEs registered and operational for at least 1 year,"Loan guarantees, funding assistance, mentorship",Application via authorized financial institutions,https://smedfund.in/,Interest rates 6-10%,Up to 10 years
Digital India Financial Access,Government,19-35,All,All,All,Nationwide,Promote Digital Payments and Financial Inclusion,All Indian residents with access to mobile/internet,"Cashback offers, digital payment support, awareness campaigns",Download app or visit designated centers,https://digitalindia.gov.in/,N/A,Ongoing
Senior Citizens Saving Scheme,Government,60+,All,All,Middle,All India,Retirement Savings and Security,Citizens above 60 years,"Interest rate 7.4%, tax benefits, lump sum maturity amount",Apply through post offices or banks,https://seniorsavings.in/,Interest at 7.4%,"5 years, renewable"
Start-up India Investment Scheme,Government,19-35,All,All,All,Nationwide,Support Entrepreneurship and Innovation,"Startups registered in India, within 2 years of incorporation","Funding, mentorship, incubation support",Register on official portal and apply,https://startuindia.gov.in/,N/A,"Variable, typically 3-5 years"
Agricultural Loan Scheme,Government,19-60,All,General,Middle,Rural Areas,Support Farmers and Agricultural Activities,"Registered farmers, landowners","Low-interest loans, subsidy support",Apply through banks or cooperative societies,https://agricultureloans.gov.in/,Interest rates 4-9%,1-10 years
"Apna Bank, Apna Khata",Private,All,All,All,All,Urban and Rural,Universal Banking Access,All residents of India,"Basic banking services, account free of charge",Visit a bank branch or apply online,https://apnakhata.in/,N/A,Lifetime
Financial Literacy Campaigns,Government,All,All,All,All,Nationwide,Increase Awareness and Financial Education,Open to all citizens,"Workshops, materials, community programs",Participate via community centers or online,https://financialliteracy.gov.in/,N/A,Ongoing
Microinsurance for Rural Women,Private,19-60,Female,OBC,Below Poverty Line,Rural Regions,Provide Insurance Cover to Rural Women,"Women below poverty line, aged 19-60","Microinsurance coverage, health and life insurance",Apply through local agents or online,https://microinsurance.gov.in/,N/A,1-3 years
Sampoorna Suraksha Bima,Government,60+,All,All,All,All India,Insurance for senior citizens,Senior citizens above 60 years,Health and life insurance coverage with affordable premiums,Apply online or at designated branches with age proof and ID,https://www.sampoorna.in,N/A,Lifetime
Kisan Credit Card Scheme,Government,19-60,All,All,Below Poverty Line,Rural,Microcredit for farmers,Farmer with land holding,"Access to credit at lower interest rates, flexible repayment options",Application through cooperative banks or rural branches,https://www.kisancard.gov.in,Interest rate 7-9% per annum,5 years
Digital Savings Initiative,Private,6-18,All,General,Middle,Urban,Promoting digital savings among youth,Students aged 6-18,"Digital wallet, savings account with rewards",Register online through partner banks or schools,https://www.digitalsavings.in,N/A,N/A
Women Empowerment Loan,Government,19-35,Female,OBC,Middle,All India,Microfinance for women entrepreneurs,Women aged 19-35 with a business plan,"Loan at 6% interest, mentorship support",Online application via government portal or local offices,https://www.womenloan.gov.in,Interest rate 6-8%,3 years
Microfinance for Minority Communities,Government,19-60,All,Minority,Below Poverty Line,Urban and Rural,Microcredit for minority groups,Minority community members with income below BPL,"Access to microfinance, financial literacy programs",Application through authorized microfinance institutions,https://www.microfinanceminority.in,Interest rate 8-10%,4 years
Smart Pension Plan,Private,36-60,All,All,Upper,All India,Retirement savings,Individuals aged 36-60 with regular income,"Monthly pension after retirement, tax benefits",Online registration or via financial advisors,https://www.smartpension.com,"Interest rate 5-7% per annum, maturity amount varies",Lifetime
Skill Development and Financial Literacy,Government,All,All,All,All,All India,Financial education and skill enhancement,Open to all residents,"Workshops, certifications, free resources",Online registration or through local government offices,https://www.fineducation.gov.in,N/A,Ongoing
